pl_name,Probability
HD 20329 b,50.46633968161138
LP 890-9 c,50.379158420091144
TOI-411 c,49.996793923564326
HIP 29442 d,49.956178674188465
TOI-1052 b,49.78045251975722
EPIC 220674823 b,49.77791028198303
Kepler-323 c,49.737807981787405
K2-38 b,49.609617964565146
Kepler-20 b,48.947529835999795
K2-66 b,47.94596322774988
K2-292 b,47.747335041841616
K2-3 b,47.436284551547715
Kepler-21 b,44.63420560054217
HD 22946 d,42.224523497103775
Kepler-62 e,40.18292595511949
Kepler-1661 b,38.72295356182871
TOI-1899 b,34.53646819602177
TOI-2095 b,33.41611533077273
TOI-532 b,33.411875766984366
TOI-5344 b,32.64201565976837
NGTS-1 b,32.23300370441512
TOI-2134 c,32.14208257863469
TOI-3629 b,31.87417342991921
TOI-1728 b,31.682611798035246
TOI-1231 b,31.20273836047103
TOI-3884 b,30.79901610698787
TOI-4860 b,30.726286674372925
HATS-74 A b,30.704653837253765
TOI-2095 c,30.676346970053352
WD 1856+534 b,30.514594157736273
LP 791-18 c,30.404660987006416
Kepler-138 b,30.381288187685563
LP 890-9 b,30.219297350668167
GJ 1214 b,30.18869309276199
TOI-1130 c,29.86354212001708
K2-415 b,29.81785972528324
TOI-5205 b,29.638256825249655
TOI-1759 b,29.584909505277047
HATS-77 b,29.360803417491702
HATS-49 b,28.395911852928766
TOI-1470 c,28.250263673676983
TOI-2285 b,28.194433771570473
TOI-3757 b,28.129350211108083
TOI-4201 b,27.870808185217363
TOI-5293 A b,27.753967811051567
TOI-3714 b,27.533180045432246
HATS-75 b,27.482164762153953
K2-114 b,26.721002401950056
TOI-3984 A b,26.70931466804612
K2-199 c,26.53518712961408
HAT-P-68 b,26.389519088497106
TOI-3785 b,25.92455348497699
Qatar-4 b,25.871875118389518
Kepler-1654 b,25.728614399538113
TOI-1260 d,25.19180089079437
HAT-P-63 b,25.187600920574127
K2-266 b,25.127558116734072
TOI-1130 b,25.121514925150805
K2-141 c,25.08482461738094
TOI-2180 b,25.01703680177757
Qatar-5 b,25.016888175115913
HATS-17 b,25.007003549299313
NGTS-13 b,25.00000018320945
Qatar-3 b,25.000000093508454
HIP 65 A b,24.85795839259886
HATS-48 A b,24.50257528935871
HATS-47 b,24.489796686382004
TOI-269 b,24.24531752643022
Kepler-62 c,23.34874916370183
HATS-76 b,23.321765286337744
TOI-674 b,23.25242068598071
Kepler-102 f,22.847200348891285
K2-36 c,22.542809799158476
K2-136 b,22.48720338684003
TOI-2134 b,22.453507605986996
HATS-72 b,22.257225146579096
HD 73583 b,22.216773462345643
WASP-156 b,22.175270501683872
K2-266 d,22.136024267882952
TOI-1064 c,22.13277804317635
K2-27 b,21.96184293488659
WASP-2 b,21.924396274635985
HD 207496 b,21.923512963400288
TOI-172 b,21.682011757454
TOI-125 d,21.614741271810534
Kepler-102 e,21.536199611581235
KOI-4777.01,21.514589996318705
HD 23472 c,21.30456403797832
TOI-1386 b,21.164124858406225
TOI-969 b,21.15974718483465
HD 219134 d,21.130927355721127
Kepler-103 c,21.0817044822677
TOI-1246 e,21.070253161377
TOI-181 b,20.94283151988345
Kepler-37 c,20.885539007399995
CoRoTID 223977153 b,20.879991724922522
TOI-125 c,20.83861307470278
Neptune,20.76164458401185
KPS-1 b,20.66159216508261
EPIC 249893012 c,20.640714811263596
K2-329 b,20.595682664459453
Kepler-102 c,20.5778296391716
HATS-63 b,20.544677987729468
NGTS-15 b,20.53014762384297
TOI-157 b,20.52452829722526
TOI-858 B b,20.51735885976947
HAT-P-62 b,20.517298917414657
HATS-59 b,20.51628756492238
K2-140 b,20.515116329977104
TOI-169 b,20.512812785921188
TOI-3688 A b,20.50552811085538
Kepler-37 d,20.489757366896463
Kepler-62 d,20.42201467618789
WASP-19 b,20.364138940279215
HAT-P-25 b,20.343681947386845
Kepler-102 b,20.336492312305758
TOI-4463 A b,20.304445525387834
Jupiter,20.301778895113223
TOI-1246 b,20.262095445660567
TOI-2570 b,20.25371451620651
TOI-4087 b,20.19740261641078
KELT-23 A b,20.190080663728175
HAT-P-19 b,20.17444451751351
HD 191939 b,20.140679665894297
Uranus,20.135763820859236
TOI-2010 b,20.108930447764013
HD 191939 c,20.078853867820936
Kepler-1514 b,20.026380794038243
EPIC 246851721 b,20.00001595977419
KELT-24 b,20.000000074238223
HATS-60 b,19.97838272587947
NGTS-17 b,19.972741823592468
TOI-905 b,19.964943183202163
HIP 29442 b,19.950014133225302
K2-167 b,19.91193670747614
Kepler-103 b,19.846339300033588
Kepler-109 b,19.798588962935828
TOI-561 c,19.76602768905324
WASP-45 b,19.763031384649963
WASP-77 A b,19.61624722068342
HD 110113 b,19.605096864787203
HD 219134 f,19.549551098381627
Saturn,19.517173012054588
HIP 9618 b,19.508874007260324
TOI-2364 b,19.4923530262447
EPIC 249893012 d,19.39850247306969
NGTS-16 b,19.342610327484156
HD 1397 b,19.33283708410163
TOI-2421 b,19.2974893167407
TOI-2818 b,19.248907480580886
TOI-3807 b,19.246530494045214
TOI-4010 c,19.1337823558563
GJ 273 c,19.113804912950528
KELT-10 b,18.993175543714994
TOI-700 c,18.951609616031625
HAT-P-55 b,18.950827486214834
TOI-257 b,18.926126589843896
TOI-1789 b,18.923520612285042
HATS-37 A b,18.90194433095374
TOI-4145 A b,18.893106232415274
HD 332231 b,18.82729064044449
TOI-421 c,18.761798173397498
HAT-P-59 b,18.67975381756347
TOI-700 d,18.67079663222224
TOI-2193 A b,18.64353723714761
HD 23472 f,18.617737108714866
GJ 1002 b,18.57188595393138
TOI-3023 b,18.556132066770505
WASP-163 b,18.534060037435538
TOI-2842 b,18.50550741724509
NGTS-18 b,18.487097671923173
HAT-P-61 b,18.36038278689368
K2-261 b,18.342841091903544
TOI-5542 b,18.32198889643728
TOI-1937 A b,18.3067138559832
WASP-166 b,18.299962153318777
TOI-3912 b,18.267768374161577
K2-79 b,18.259731696218275
TOI-954 b,18.189893129098984
HAT-P-51 b,18.088492437537056
WASP-170 b,18.062624269672202
TOI-1246 d,17.998222414895945
HAT-P-65 b,17.996517948711993
TOI-2567 b,17.98177580849538
HAT-P-58 b,17.970826692536225
HATS-62 b,17.951743814883024
HATS-38 b,17.872740469416406
NGTS-12 b,17.82296627036155
TOI-2587 A b,17.812667232148243
TOI-2796 b,17.811383484523407
HD 191939 d,17.7753259364393
TOI-1201 b,17.766982184314777
HAT-P-32 b,17.710568015758057
WASP-153 b,17.63321333206024
TOI-3364 b,17.631524805337875
TOI-564 b,17.612007332264017
TOI-2583 A b,17.550480268407807
TOI-2641 b,17.53540316945165
TOI-3976 A b,17.521617733483403
K2-285 c,17.50069270980597
Kepler-409 b,17.364979223804564
K2-285 d,17.362385510203236
TOI-1420 b,17.111850024609968
Kepler-1876 b,17.08373047384832
WASP-193 b,17.013588029618003
HIP 9618 c,16.849301178689753
HD 118203 b,16.826904506336195
TOI-3331 A b,16.826420393909224
HD 3167 c,16.73880574710403
TOI-4010 b,16.737305655856886
TOI-125 b,16.733009457938856
WASP-18 b,16.682020910271856
GPX-1 b,16.682011750072906
HD 136352 d,16.608022088161068
HD 183579 b,16.591068750328198
TOI-908 b,16.584769399773975
Kepler-20 c,16.4089880026308
K2-100 b,16.37126017978648
Kepler-37 b,16.305167836422
HD 136352 c,16.210272496537314
HATS-69 b,16.055074233332554
Kepler-107 c,16.029880136322955
K2-38 c,15.946692333364686
Kepler-109 c,15.835307389789492
EPIC 220674823 c,15.795690715182841
HD 93963 A b,15.751254629262148
TOI-1221 b,15.729051440418637
TOI-421 b,15.70179014922845
TOI-3693 b,15.695142484537438
TOI-2236 b,15.567847022146944
TOI-4010 d,15.549903341707514
EPIC 248847494 b,15.518208292862598
Kepler-107 d,15.518204864092285
K2-237 b,15.496698810387775
TOI-4137 b,15.427916252837958
WASP-44 b,15.352602480678492
NGTS-8 b,15.339941275042817
Kepler-454 b,15.313416101801767
TOI-2207 b,15.244988848792012
TOI-3819 b,15.065624018386035
K2-12 b,15.060705221190581
HD 5278 b,15.059594605859767
HATS-67 b,15.04405133342784
GJ 667 C b,14.94669416167538
KELT-18 b,14.872584373360649
Kepler-69c,14.770842044428557
TOI-2000 c,14.688075957081574
TOI-622 b,14.678344563451152
GJ 1061 c,14.632822438254681
HD 202772 A b,14.548384564696144
GJ 1061 d,14.49715430815644
HAT-P-9 b,14.275104777402973
XO-7 b,14.204548763186223
TOI-2803 A b,14.184944351360567
HATS-65 b,14.121002670408503
HATS-64 b,13.945475993539581
KELT-4 A b,13.736220226023896
KELT-12 b,13.641174119031465
HAT-P-60 b,13.013451727099378
HAT-P-64 b,12.898869725751679
WASP-174 b,12.61591212821074
TOI-615 b,12.560924152719098
TOI-4791 b,11.646987908109077
TOI-4127 b,11.630579186109825
TOI-1107 b,11.610048687203566
HATS-61 b,11.581756405218655
Kepler-1655 b,10.680866138898066
TOI-411 b,10.51942622484203
NGTS-9 b,10.518384462616295
TOI-4603 b,10.518191617571638
KELT-9 b,10.318311862869553
HATS-68 b,9.897112049671666
KELT-19 A b,8.380211342748488
KELT-20 b,8.379539059953974
TOI-1431 b,7.613818633342362
KELT-21 b,7.080516224076974
WASP-161 b,6.633406841270113
HATS-66 b,6.581014189538985
HATS-70 b,5.518191617571637
