pl_name,Probability
K2-18 b,95.49117925731275
Kepler-452 b,92.23183336356554
Earth,90.34575135261356
TOI-700 b,82.72974184535042
K2-72 e,82.69900830975037
GJ 273 b,81.31736955807668
Ross 128 b,78.90771729895802
Kepler-22 b,73.3944160352554
Trappist-1 d,72.68636360556818
Kepler-442 b,69.62530959849487
LHS 1140 b,69.44519841988799
Trappist-1 g,68.90843447792943
Trappist-1 e,68.69949040147279
Wolf 1069 b,68.67602297491047
K2-3 d,68.41559128164592
K2-25 b,68.31741058965908
HD 260655 c,67.98159489557398
LP 791-18 d,67.7781731065467
LHS 1140 c,67.75098576416944
Trappist-1 f,67.63694833811701
K2-3 c,67.58149729519953
Proxima Centauri b,67.45021635051364
Kepler-138 d,66.96756943695348
TOI-1452 b,66.95909287981516
TOI-2136 b,66.68773945799342
K2-3 b,66.66615293447826
Kepler-138 c,66.47877915731053
Trappist-1 c,65.88463110022361
Trappist-1 b,65.7169044677115
Trappist-1 h,65.55203819675313
TOI-1470 b,65.43858824483222
TOI-1695 b,65.02008286759073
GJ 3473 b,64.86557015762953
TOI-776 c,64.6831558566087
LTT 1445 A c,64.59906998825117
HD 260655 b,64.45959335650014
TOI-244 b,64.24744430166464
TOI-836 c,64.19010330486958
TOI-776 b,63.50952792044028
TOI-836 b,63.493077381152034
TOI-1266 c,63.388448762859284
GJ 486 b,63.28897600265444
L 98-59 b,63.28885819916721
K2-136 d,63.15038125100252
TOI-1266 b,63.071307396360766
TOI-1260 c,63.06731677842641
TOI-715 b,62.94725686486588
Venus,62.9179661442496
GJ 3929 b,62.782984961548195
K2-136 c,62.6980752227136
HD 73583 c,62.61130417677481
GJ 806 b,62.596474537686994
TOI-1260 b,62.162592348565255
K2-266 e,62.08248565256264
GJ 1061 b,60.98682190099212
G 9-40 b,60.75437786643512
TOI-824 b,60.415093755304255
Wolf 327 b,60.202991870375115
Wolf 503 b,60.19408438103479
HD 23472 b,59.65079933627956
Kepler-1704 b,59.33134609506135
TOI-1064 b,58.84134838416844
TOI-500 b,58.67547974188869
TOI-1075 b,58.64883062412946
Mars,58.513637541063105
K2-110 b,58.42959716075713
K2-266 c,58.40857225515869
K2-141 b,57.81787061479203
GJ 367 b,57.45816259692158
TOI-561 e,56.97357287306722
HIP 116454 b,56.808095273167
TOI-238 c,56.60253766393006
Kepler-102 d,56.5610261273296
K2-199 b,56.48148291659027
Kepler-20 d,56.329654399726294
LP 890-9 b,56.294796844671204
HD 207897 b,56.19222973268191
K2-285 b,55.8905830849205
TOI-1416 b,55.79395099934808
TOI-561 d,55.68629120211674
Kepler-78 b,55.577428771889736
TOI-1062 b,55.31567615858272
HD 3167 b,55.22009326186184
Teegarden's Star b,55.185944519439076
K2-216 b,55.069443653242026
HD 95338 b,55.060517145988605
HD 136352 b,55.01727614132427
K2-111 b,54.99917559880446
EPIC 229004835 b,54.99834204347235
Kepler-107 e,54.98705209503297
HD 93963 A c,54.986540653282866
TOI-132 b,54.96788350116389
Kepler-107 b,54.9557045539229
K2-222 b,54.93998039700652
TOI-1246 c,54.88971605832224
TOI-2000 b,54.87196467562221
Kepler-10 b,54.87087128833836
Teegarden's Star c,54.861130875920175
TOI-733 b,54.8319733568696
Kepler-10 c,54.83057712262903
TOI-2196 b,54.7913924535757
Kepler-68 b,54.78668886448678
K2-263 b,54.71140103209638
HD 23472 e,54.67722020448435
Kepler-19 b,54.64519419405889
Mercury,54.388507062745035
HD 219134 c,54.142907380906365
Kepler-1229 b,54.0448171897714
TOI-561 b,54.01053086764529
HD 23472 d,53.97045023017054
GJ 667 C d,53.9586222456275
Kepler-1652 b,53.89380409049292
HD 219134 b,53.84266413285177
Kepler-62 b,53.77861566461812
K2-36 b,53.742664530803246
K2-182 b,53.73008420522385
Kepler-1649 c,53.63087672216352
Kepler-296 e,53.42911315640455
Kepler-186 f,53.20500073539544
TOI-238 b,53.03587980716462
K2-285 e,52.12828864256813
Kepler-20 f,51.92543086763897
HIP 29442 c,51.75668648386375
Kepler-323 b,51.47579667366571
Kepler-538 b,51.418247542584496
Kepler-93 b,51.402392113693814
Kepler-68 c,51.328964120551746
HD 80653 b,51.21331612420792
Kepler-20 e,51.024469922322396
GJ 667 C c,51.00966886211224
EPIC 249893012 b,50.9929210926301
K2-131 b,50.95380467579512
