P_NAME,Probability,ESI
Kepler-1902 b,62.92095887578594,31.741388999999998
Kepler-333 c,62.91684054686193,48.074054
HD 260655 b,62.90731718672841,32.135850999999995
GJ 667 C g,62.885802285735316,31.345348
K2-21 b,62.881004611922314,34.019629
Kepler-1456 b,62.8750733714548,43.805431999999996
GJ 367 b,62.855579609239285,28.429496
Kepler-32 f,62.81446809783689,29.408682000000002
K2-5 b,62.814218536835384,30.369935999999996
K2-122 b,62.813010159566296,31.480665000000002
TOI-1634 b,62.811508134980265,27.812161000000003
TOI-2018 b,62.80925604264862,28.978959
Kepler-994 b,62.73807921282781,28.022791
Kepler-303 c,62.728800341613635,34.280281
Kepler-81 d,62.71341706553378,44.802915999999996
Kepler-1826 b,62.631816459333535,28.828182
Kepler-1075 b,62.609313313338575,29.009780000000003
LHS 1815 b,62.585920420251846,34.633039
tau Cet e,62.57307744555225,72.066764
TOI-833 b,62.55276926254114,29.319093000000002
Kepler-1956 b,62.53864617648689,34.023649999999996
K2-322 b,62.533139489208054,30.857540999999998
K2-148 d,62.50382555302236,34.915497
Kepler-1460 b,62.49120123199084,45.947466
K2-147 b,62.483341239948125,29.121804
AU Mic d,62.47162650209944,39.679677000000005
Kepler-1816 b,62.45647125613789,64.727417
tau Cet f,62.426266134639874,55.463551
K2-154 c,62.37273069874901,31.173614
K2-89 b,62.35744531109891,27.922197999999998
GJ 3293 b,62.29589768498266,52.0749
Kepler-26 d,62.27710932929608,31.674778999999997
HIP 71135 b,62.26937932843198,54.575672
Kepler-1049 b,62.250518385858825,31.603719
Kepler-1749 b,62.239732761989984,37.692318
K2-54 b,62.20784848008626,35.343278
TOI-178 f,62.065885878592326,33.893943
K2-148 c,62.05608202519719,31.742658000000002
GJ 676 A d,62.05532624688029,28.763755000000003
Kepler-329 b,61.98955566424637,33.001479
K2-148 b,61.86054927165689,31.384917
Kepler-225 b,61.844100798451564,33.241
K2-266 e,61.79349773089394,33.869937
Kepler-1606 b,61.779361209073635,70.025387
K2-154 b,61.71952087196362,27.766944
Kepler-220 e,61.71299055737432,55.71803
EPIC 206042996 b,61.567254486079904,30.053173
Kepler-901 b,61.560157102354324,30.330314
Kepler-777 b,61.538573315697164,31.409039
Kepler-331 d,61.52755048106768,45.375122000000005
K2-90 c,61.500108831412554,30.239512
K2-136 d,61.40454260783141,44.553947
TOI-1260 c,61.393222597236786,26.044049
Kepler-1366 b,61.35050478134611,29.211365999999998
Kepler-1802 b,61.32562418667358,31.958864
Kepler-367 c,61.300810017334236,58.415034
Kepler-316 c,61.24656297399105,33.073767
Kepler-158 c,61.18633348607332,42.586681
Kepler-1910 b,61.129069085089725,32.379322
TOI-836 c,61.12434347251758,27.615654
K2-4 b,61.123661730942,31.26325
Kepler-1152 b,61.11961008839579,29.990373999999996
Kepler-205 b,61.065245389687576,29.114630000000002
Kepler-1105 b,61.03111590828384,27.979854999999997
TOI-1696 b,61.02714842656671,29.102117999999997
K2-136 c,61.003831878469505,30.565293
Kepler-383 c,60.94372625249766,46.933733
GJ 433 d,60.88103690827523,74.246005
K2-381 d,60.86803374756062,43.559326
Kepler-303 b,60.849438053766946,30.110016
K2-50 b,60.796778748278705,32.412154
HD 73583 c,60.78712104836513,33.723818
EPIC 206042996 c,60.73939823030592,29.086617999999998
Kepler-1492 b,60.6676448148302,39.393648
TOI-178 c,60.65594678670142,28.507703
K2-126 b,60.58005765353445,29.823506
Kepler-354 d,60.54914362965593,42.837982000000004
TOI-1260 b,60.54879846662543,24.829987
Kepler-1097 b,60.54235742013472,62.052308000000004
K2-377 b,60.51714455486291,35.460258
TOI-836 b,60.51525830806802,28.643901
Kepler-1948 b,60.488512124281996,39.26923
K2-394 b,60.447591424006724,28.991566000000002
Kepler-898 b,60.422426307664004,30.953986
Kepler-833 b,60.41183231672361,35.26476
Kepler-1465 b,60.38037467411548,46.000402
Kepler-844 b,60.32178065231981,28.055593000000002
Kepler-1459 b,60.30065429370989,57.680628
TOI-2427 b,60.28861689183894,26.943414999999998
Kepler-753 b,60.15665124724182,28.731033
Kepler-331 c,60.14830512616334,34.733666
Kepler-367 b,60.14594184523779,48.717781
Kepler-80 g,60.14098988476178,38.494639
Kepler-674 b,60.1350443350353,27.861328
Kepler-316 b,60.12695821677367,30.143092
K2-57 b,60.11090536883732,29.78153
Kepler-298 c,60.105878804085435,37.946811000000004
K2-332 b,60.10553734071723,72.93212100000001
GJ 367 d,60.103919411435484,71.35547199999999
HD 8326 b,60.0757197149331,42.425121
K2-228 b,60.05104416490291,30.097678
Kepler-1687 b,60.013581650493386,29.913404999999997
Kepler-1853 b,59.99561409172981,51.517769
Kepler-787 b,59.95952764049772,29.036194
K2-128 b,59.95675293156017,30.997148000000003
Kepler-230 c,59.91558039287866,57.397580999999995
TOI-1411 b,59.913032805502695,29.032656000000003
Kepler-1461 b,59.84921993756658,40.476121
Kepler-1795 b,59.83767079046164,34.551175
Kepler-354 c,59.8188219362507,37.623851
Kepler-801 b,59.79417739213579,30.565701
Kepler-658 b,59.79353885938209,27.672978999999998
Kepler-398 c,59.75104681098264,35.892027999999996
Kepler-1136 b,59.710431561541085,28.111217999999997
K2-254 b,59.70232611411678,29.095605000000003
Kepler-895 b,59.688766908687406,28.763843
Kepler-1096 b,59.68494069257275,30.000182
Kepler-174 c,59.67446287173234,47.958253
K2-381 c,59.67106049608066,34.183409999999995
KOI-1833 d,59.66365714297608,25.642342000000003
Kepler-1331 b,59.6530632202826,29.499102999999998
Kepler-1697 b,59.617179264487056,47.752012
Kepler-415 c,59.61458321572993,29.411768
TOI-178 b,59.58058366163778,29.835059
Kepler-1053 b,59.56886705116221,30.379025
Kepler-55 f,59.551461628781404,32.518088
Kepler-80 e,59.54890574902465,29.358323
K2-368 d,59.54570455184876,36.264083
L 168-9 b,59.51326778206654,29.234925
Kepler-1430 b,59.50429626644768,29.896212
Kepler-332 d,59.45231157489033,46.019872
Kepler-1190 b,59.43548715344392,33.716349
EPIC 201833600 c,59.4191699752498,31.092323999999998
Kepler-1246 b,59.32188062967952,33.630461
Kepler-220 d,59.31195455958368,45.109952
TOI-2411 b,59.30403844296936,27.259516
Kepler-331 b,59.28834784059457,29.755328
Kepler-834 b,59.24810489377392,30.656740999999997
K2-16 b,59.23166176695854,28.708119999999997
K2-338 b,59.23119230631484,30.959265000000002
Kepler-383 b,59.21134558449823,34.650473
Kepler-1579 b,59.205458036840895,29.262588
K2-35 b,59.15573571784474,29.462754000000004
K2-130 b,59.13756704043324,29.741329999999998
TOI-712 b,59.136613798412746,28.887835
TOI-2194 b,59.09125482384852,32.889554
Kepler-1939 b,59.0624534717477,30.088024
Kepler-69 c,59.04955849201727,70.36685700000001
K2-339 b,59.025494313705806,35.068307999999995
Kepler-968 c,58.985975045551285,29.11126
Kepler-1351 b,58.97700459517778,28.038958
Kepler-1367 b,58.96506206285383,29.857504000000002
Kepler-1019 b,58.958749615295844,28.496659
Kepler-934 b,58.92212740995329,47.727706
K2-156 b,58.9132179578739,29.424837999999998
Kepler-1353 b,58.9085650890254,38.32859
Kepler-55 e,58.90055657070619,29.483401999999998
K2-85 b,58.89685951202555,29.147447
Kepler-298 b,58.89577832332331,30.148028999999998
K2-368 c,58.791887433571546,32.807652999999995
Kepler-1126 c,58.759224668949344,72.064487
TOI-1235 b,58.71840329324072,29.250734
