pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
61 Vir b,61 Vir,1,3,2009,4.215,0.050201,,,5.1,0.016,0.12,,,,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.6955,2.956,4.54052
61 Vir c,61 Vir,1,3,2009,38.021,0.2175,,,18.2,0.057,0.14,,,,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.6955,2.956,4.54052
61 Vir d,61 Vir,1,3,2009,123.01,0.476,,,22.9,0.072,0.35,,,,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.6955,2.956,4.54052
7 CMa b,7 CMa,1,2,2011,735.1,1.758,,,587.9855,1.85,0.06,,,90,,,4826,4.87,1.34,0.21,[Fe/H],3.19,19.8101,3.95,1.564,3.67853
7 CMa c,7 CMa,1,2,2019,996,2.153,,,276.5121,0.87,0.08,,,90,,,4826,4.87,1.34,0.21,[Fe/H],3.19,19.8101,3.95,1.564,3.67853
70 Vir b,70 Vir,1,1,1996,116.688,0.481,,,2357.02728,7.416,0.3988,,,,,,5495,1.89,1.09,,,3.95,17.9011,4.96808,3.5,4.76178
75 Cet b,75 Cet,2,2,2012,696.62,1.912,,,787.89662,2.479,0.093,,,,,G3 III,4809,10.38,1.92,0.1,[Fe/H],2.69,82.9613,5.3532,3.207,5.09343
75 Cet c,75 Cet,2,2,2023,2051.62,3.929,,,289.85951,0.912,0.023,,,,,G3 III,4809,10.38,1.92,0.1,[Fe/H],2.69,82.9613,5.3532,3.207,5.09343
8 UMi b,8 UMi,1,1,2015,93.4,0.49,,,416.3573,1.31,0.06,,,,,,4847,10.3,1.44,-0.03,[Fe/H],2.57,162.552,6.83295,4.515,6.55896
81 Cet b,81 Cet,1,1,2008,1005.57,2.104,,,1051.05854,3.307,0.037,,,,,G5 III,4734,11.21,1.23,-0.11,[Fe/H],2.41,101.26,5.64307,3.266,5.37588
91 Aqr b,91 Aqr,3,1,2013,181.4,0.7,,,1017,3.2,0.027,,,,,K0 III,4665,11,1.4,-0.03,[Fe/H],2.52,44.0304,4.23946,1.597,3.95311
AB Aur b,AB Aur,1,1,2022,,93.9,,,2860.45566,9,0.4,,,42.6,,,9770,,2.4,,,,162.127,7.076,4.23,7.07854
AB Pic b,AB Pic,1,1,2005,,260,,,4290.5,13.5,,,,,,K2 V,,,,,,,50.0475,9.13,6.981,8.8378
AF Lep b,AF Lep,1,1,2023,8030,8.4,,,1017.0509,3.2,0.24,,,50,,F8 V,6130,1.25,1.2,0.19,[Fe/H],,26.8564,6.332,4.926,6.18644
AU Mic b,AU Mic,1,3,2020,8.4629991,0.0645,,,20.12,0.0633,0.186,,,,,,,,0.5,,,,9.7221,8.81,4.529,7.84038
AU Mic c,AU Mic,1,3,2021,18.858991,0.1101,,,9.6,0.0302,,,,,,,,,0.5,,,,9.7221,8.81,4.529,7.84038
AU Mic d,AU Mic,1,3,2023,12.73596,,,,1.053,0.00331,0.00305,,,89.318,,,3678,0.74,0.51,0.23,[Fe/H],4.4,9.7221,8.81,4.529,7.84038
BD+03 2562 b,BD+03 2562,1,1,2017,481.9,1.3,,,2034.112,6.4,0.2,,,,,,4095,32.35,1.14,-0.71,[Fe/H],1.89,1070.63,9.577,6.021,8.9977
BD+14 4559 b,BD+14 4559,1,1,2009,268.94,0.78,,,330.5432,1.04,0.29,,,,,,4864,0.86,0.49,0.17,[Fe/H],4.26,49.352,9.78,7.336,9.35108
BD+15 2375 b,BD+15 2375,1,1,2016,153.22,0.576,,,337.21763,1.061,0.001,,,,,,4649,8.95,1.08,-0.22,[Fe/H],2.61,768.045,10.41,7.718,9.9918
BD+15 2940 b,BD+15 2940,1,1,2013,137.48,0.539,,,352.78,1.11,0.26,,,,,K0,4796,14.7,1.1,0.28,[Fe/H],2.8,426.42,9.01,6.525,8.7178
BD+20 2457 b,BD+20 2457,1,2,2009,379.63,1.45,,,6807.63,21.42,0.15,,,,,K2 II,4137,49,2.8,-1,[Fe/H],1.51,1539.71,9.743,6.42,9.22684
BD+20 2457 c,BD+20 2457,1,2,2009,621.99,2.01,,,3963.17,12.47,0.18,,,,,K2 II,4137,49,2.8,-1,[Fe/H],1.51,1539.71,9.743,6.42,9.22684
BD+20 274 b,BD+20 274,1,1,2012,578.2,1.3,,,1334.886,4.2,0.21,,,,,K5 III,4296,17.3,0.8,-0.46,[Fe/H],1.99,1322.51,9.367,6.169,8.91613
BD+20 594 b,BD+20 594,1,1,2016,41.6855,,2.578,0.23,22.2481,0.07,0,,,89.55,,,5766,1.08,1.67,-0.15,[Fe/H],4.5,179.461,10.849,9.368,10.8644
BD+45 564 b,BD+45 564,1,1,2021,307.88,0.83,,,432.24663,1.36,0.12,,,2.579,,K1,5004,,0.81,-0.09,[Fe/H],4.22,53.622,9.67,7.557,9.41266
BD+48 738 b,BD+48 738,1,1,2011,392.6,1,,,289.2253,0.91,0.2,,,,,K0 III,4414,11,0.74,-0.2,[Fe/H],2.24,871.493,9.139,5.904,8.65569
BD+48 740 b,BD+48 740,1,1,2018,733,1.7,,,540.311,1.7,0.76,,,,,,4534,10.33,1.09,-0.13,[Fe/H],2.48,666.589,8.69,5.645,8.26449
BD+49 828 b,BD+49 828,1,1,2015,2590,4.2,,,508.5,1.6,0.35,,,,,K0,4943,7.6,1.52,-0.19,[Fe/H],2.85,442.042,9.381,6.571,9.02851
BD+55 362 b,BD+55 362,1,1,2021,265.59,0.78,,,228.83645,0.72,0.27,,,0.601,,K3,5012,,0.91,0.18,[Fe/H],4.09,52.5697,9.38,7.331,9.15305
BD+60 1417 b,BD+60 1417,1,1,2021,,1662,14.684,1.31,4767.4261,15,,,1303,,,K0,4993,0.8,1,,,4.55,44.9543,9.374,7.288,9.17439
BD+63 1405 b,BD+63 1405,1,1,2021,1198.48,2.06,,,1258.60049,3.96,0.88,,,5.974,,K0,5000,,0.82,-0.09,[Fe/H],4.2,38.0473,8.96,6.78,8.705
BD-00 4475 b,BD-00 4475,1,1,2021,723.2,1.48,,,7961.6016,25.05,0.39,,,13.31,,G0,5040,,0.81,-0.14,[Fe/H],4.25,42.6402,9.01,6.996,8.78101
BD-06 1339 b,BD-06 1339,1,2,2013,3.8728,0.0428,,,8.5,0.027,0,,,,,K7/M0 V,4324,,0.7,-0.14,[Fe/H],4.74,20.2695,9.7,6.305,9.10677
BD-06 1339 c,BD-06 1339,1,2,2013,125.94,0.435,,,53,0.17,0.31,,,,,K7/M0 V,4324,,0.7,-0.14,[Fe/H],4.74,20.2695,9.7,6.305,9.10677
BD-08 2823 b,BD-08 2823,1,2,2009,5.6,0.06,,,12.7132,0.04,0.15,,,,,,4816,0.71,0.5,-0.06,[Fe/H],4.43,41.3342,9.86,7.323,9.50331
BD-08 2823 c,BD-08 2823,1,2,2009,237.6,0.68,,,104,0.33,0.19,,,,,K3 V,4746,,0.74,-0.07,[Fe/H],4.13,41.3342,9.86,7.323,9.50331
BD-10 3166 b,BD-10 3166,1,1,2000,3.48777,0.04,,,187.5197,0.59,0.02,,,,,,5393,0.91,1.47,0.38,[Fe/H],4.69,84.4069,10.013,8.124,9.83981
BD-11 4672 b,BD-11 4672,1,2,2014,1634,2.36,,,206.5895,0.65,0.05,,,,,,4550,0.64,0.65,-0.35,[Fe/H],4.64,27.1665,10.03,6.867,9.48511
BD-11 4672 c,BD-11 4672,1,2,2020,74.2,0.3,,,15.37,0.04836,0.4,,,,,,4550,0.64,0.65,-0.35,[Fe/H],4.64,27.1665,10.03,6.867,9.48511
BD-13 2130 b,BD-13 2130,1,1,2007,714.29999,1.66,,,3108.3774,9.78,0.21,,,,,,4545,19.17,2.12,-0.08,[Fe/H],2.2,925.214,10.038,7.151,9.69971
BD-17 63 b,BD-17 63,1,1,2008,655.6,1.34,,,1620.9,5.1,0.54,,,,,K5 V,4714,0.69,0.74,-0.03,[Fe/H],4.26,34.4603,9.62,6.914,9.20112
BD-210397 b,BD-210397,1,2,2023,1891,2.63,,,214,0.7,0.1,0.02,,,,K7 V,4051,0.75,0.68,0.12,[Fe/H],4.67,23.7324,9.84,6.504,9.25962
BD-210397 c,BD-210397,1,2,2023,6240,5.9,,,1525.57635,4.8,0.43,,,33,,K7 V,,,0.69,,,,23.7324,9.84,6.504,9.25962
CD Cet b,CD Cet,1,1,2020,2.2907,0.0185,,,3.95,0.01243,,8.6,464,87.48,,M5.0 V,3130,0.17,0.16,0.13,[Fe/H],4.93,8.60715,13.95,7.833,12.1232
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,2011,10037.5,2.6,,,3337.1,10.5,,,370,,,,580.5,,0.02,,,4.72,,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,2021,8040000,200,20.849,1.86,2479.06157,7.8,,,1800,,,M9-L1,2320,0.24,0.01,,,3.85,,,14.593,
CHXR 73 b,CHXR 73,1,1,2006,,210,,,3994.486,12.569,,,,,,M3.5,,,0.35,,,,190.374,,10.703,17.2934
CI Tau b,CI Tau,1,1,2019,8.9891,,,,3686.828,11.6,0.25,,,50.5,,K7,,,0.9,,,,157.998,13.642,7.793,12.1454
COCONUTS-2 b,COCONUTS-2 A,1,1,2021,402000000,7506,12.442,1.11,2002.31896,6.3,,,434,,,M3 V,3406,0.39,0.37,0,[Fe/H],4.83,10.8864,11.298,6.579,10.146
CT Cha b,CT Cha,1,1,2007,,440,24.66,2.2,5403,17,,,2600,,,,,,,,,,190.72,12.335,8.661,11.7733
CoRoT-1 b,CoRoT-1,1,1,2008,1.5089557,,16.7,1.49,327.35,1.03,0,,1898,85.1,,G0 V,5950,1.11,0.95,-0.3,[M/H],4.25,787.909,13.623,12.149,13.457
CoRoT-10 b,CoRoT-10,1,1,2010,13.2406,0.1055,10.87,0.97,874,2.75,0.53,,600,88.55,,K1 V,5075,0.79,0.89,0.26,[Fe/H],4.65,338.386,15.293,11.782,14.6645
CoRoT-11 b,CoRoT-11,1,1,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,0,,1657,83.17,,F6 V,6440,1.37,1.27,-0.03,[Fe/H],4.22,655.037,12.897,11.248,12.841
