pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HD 133131 B b,HD 133131 B,2,3,2016,5769,6.15,,,794.575,2.5,0.61,,,,,G2 V,5805,,0.93,-0.281,[Fe/H],4.41,51.2993,8.413,6.896,8.25674
HD 134060 b,HD 134060,1,2,2019,3.2696,0.0444,,,10.1,0.0318,0.45,,,,,G3 IV,5966,,1.09,0.14,[Fe/H],4.43,24.0125,6.29,4.836,6.13951
HD 134060 c,HD 134060,1,2,2019,1291.5646,2.3928,,,29.29,0.0922,0.11,,,,,G3 IV,5966,,1.09,0.14,[Fe/H],4.43,24.0125,6.29,4.836,6.13951
HD 134606 b,HD 134606,1,5,2024,12.089,0.1046,,,9.09,0.0286,0.092,,,,,,5576,1.16,1.05,0.343,[Fe/H],4.33,26.7909,6.86,5.177,6.67835
HD 134606 c,HD 134606,1,5,2024,58.883,0.3007,,,11.31,0.03559,0.055,,,,,,5576,1.16,1.05,0.343,[Fe/H],4.33,26.7909,6.86,5.177,6.67835
HD 134606 d,HD 134606,1,5,2024,966.5,1.941,,,44.8,0.14096,0.092,,,,,,5576,1.16,1.05,0.343,[Fe/H],4.33,26.7909,6.86,5.177,6.67835
HD 134606 e,HD 134606,1,5,2024,4.3203,0.0527,,,2.34,0.00736,0.2,,,,,,5576,1.16,1.05,0.343,[Fe/H],4.33,26.7909,6.86,5.177,6.67835
HD 134606 f,HD 134606,1,5,2024,26.915,0.1784,,,5.63,0.01771,0.081,,,,,,5576,1.16,1.05,0.343,[Fe/H],4.33,26.7909,6.86,5.177,6.67835
HD 134987 b,HD 134987,1,2,1999,258.17999,0.81,,,511.7063,1.61,0.23,,,,,,5736,1.22,1.1,0.28,[Fe/H],4.31,26.1804,6.47,4.882,6.28994
HD 134987 c,HD 134987,1,2,2009,5000,5.8,,,260,0.82,0.12,,,,,G5 V,5585,1.25,1.1,0.28,[Fe/H],,26.1804,6.47,4.882,6.28994
HD 135625 b,HD 135625,1,1,2023,4055,5.4,,,731.00534,2.3,0.16,,,93,,G3 IV/V,,,1.28,,,,56.518,7.72,6.29,7.56578
HD 135872 b,HD 135872,1,1,2022,2422.32597,4.172,,,1744.56013,5.489,0.164,,,93.872,,,,,1.65,,,,82.4251,7.28103,5.086,7.02764
HD 136118 b,HD 136118,1,1,2022,1187.59765,2.327,,,4164.18779,13.102,0.344,,,116.779,,,,,1.18,,,,51.4359,6.9456,5.599,6.79664
HD 136352 b,HD 136352,1,3,2019,11.57797,0.0964,1.664,0.148,4.72,0.01485,0,111.6,905,88.49,,,5664,1.06,0.87,-0.24,[M/H],4.39,14.682,5.65,4.159,5.48495
HD 136352 c,HD 136352,1,3,2019,27.59221,0.1721,2.916,0.26,11.24,0.03536,0,35.1,677,88.571,,,5664,1.06,0.87,-0.24,[M/H],4.39,14.682,5.65,4.159,5.48495
HD 136352 d,HD 136352,1,3,2019,107.245,0.425,2.562,0.229,8.82,0.02775,0,5.74,431,89.73,,,5664,1.06,0.87,-0.24,[M/H],4.39,14.682,5.65,4.159,5.48495
HD 136418 b,HD 136418,1,1,2009,464.29999,1.29,,,680.1562,2.14,0.25,,,,,,4989,3.78,1.48,-0.11,[Fe/H],3.45,105.168,7.849,,7.60946
HD 136925 b,HD 136925,1,1,2021,4540,5.13,,,266.97586,0.84,0.103,,,,,,5773.19,1.19,0.88,-0.217,[Fe/H],4.23,47.874,7.91433,6.359,7.74447
HD 13724 c,HD 13724,1,1,2022,142.22895,0.534,,,50.85255,0.16,0.651,,,,,,,,1,,,,43.465,7.89,6.378,7.73003
HD 137388 b,HD 137388,1,1,2011,330,0.89,,,63.566,0.2,0.36,,,,,,5181,0.88,0.68,0.19,[Fe/H],4.39,40.4841,8.71,6.763,8.47996
HD 137496 b,HD 137496,1,2,2021,1.62116,0.02732,1.31,0.117,4.04,0.01271,0,,2130,85.8,,G,5799,1.59,1.04,-0.03,[Fe/H],4.05,155.317,9.899,8.244,9.77168
HD 137496 c,HD 137496,1,2,2021,479.9,1.2163,,,2434.5656,7.66,0.477,,370,,,G,5799,1.59,1.04,-0.03,[Fe/H],4.05,155.317,9.899,8.244,9.77168
HD 13808 b,HD 13808,1,2,2021,14.1815,0.10519,,,11.2,0.03524,0.071,,,,,K2 V,5035,0.78,0.77,-0.21,[Fe/H],,28.2305,8.36,6.25,8.11006
HD 13808 c,HD 13808,1,2,2021,53.753,0.2554,,,9.96,0.03134,0.156,,,,,K2 V,5035,0.78,0.77,-0.21,[Fe/H],,28.2305,8.36,6.25,8.11006
HD 13908 b,HD 13908,1,2,2013,19.382,0.154,,,274.91,0.865,0.02,,,,,F8 V,6255,1.67,1.29,0.01,[Fe/H],4.11,79.5515,7.52,6.21,7.3845
HD 13908 c,HD 13908,1,2,2013,931,2.03,,,1630.4,5.13,0.12,,,,,F8 V,6255,1.67,1.29,0.01,[Fe/H],4.11,79.5515,7.52,6.21,7.3845
HD 13931 b,HD 13931,1,1,2009,4218,5.15,,,699.226,2.2,0.02,,,,,,5867,1.25,1.3,0.05,[Fe/H],4.36,47.3963,7.61,6.139,7.45464
HD 139357 b,HD 139357,1,1,2008,1124.79139,2.949,,,6315.56828,19.871,0.099,,,103.235,,,,,2.69,,,,112.09,5.97272,3.406,5.6303
HD 1397 b,HD 1397,1,1,2018,11.53533,0.1097,11.5,1.026,131.89945,0.415,0.251,356,1228,88.99,,,5521,2.34,1.32,0.29,[Fe/H],3.82,79.5702,7.79,5.988,7.59336
HD 14067 b,HD 14067,1,1,2014,2744,5.15,,,4862.77463,15.3,0.65,,,39,,G9 III,4815,12.4,2.4,-0.1,[Fe/H],2.61,142.024,6.53329,4.097,6.23751
HD 140901 b,HD 140901,1,2,2022,9.02378,0.085,,,15.57359,0.049,0.472,,,,,,,,0.99,,,,15.2528,6.01,4.323,5.83135
HD 140901 c,HD 140901,1,2,2022,14386,11.8,,,572.09113,1.8,0.77,,,40,,G7 IV,,,1.06,,,,15.2528,6.01,4.323,5.83135
HD 141004 b,HD 141004,1,1,2021,15.5083,0.1238,,,13.63484,0.0429,0.16,,,,,,5885.38,1.39,1.05,0.025,[Fe/H],4.17,11.8148,4.4154,2.989,4.27965
HD 141399 b,HD 141399,1,4,2014,94.44,0.415,,,143.34133,0.451,0.04,,,,,K0,5600,,1.07,0.35,[Fe/H],4.28,37.0169,7.20856,5.499,7.00926
HD 141399 c,HD 141399,1,4,2014,201.99,0.689,,,422.7139,1.33,0.048,,,,,K0,5600,,1.07,0.35,[Fe/H],4.28,37.0169,7.20856,5.499,7.00926
HD 141399 d,HD 141399,1,4,2014,1069.8,2.09,,,375.0394,1.18,0.074,,,,,K0,5600,,1.07,0.35,[Fe/H],4.28,37.0169,7.20856,5.499,7.00926
HD 141399 e,HD 141399,1,4,2014,5000,5,,,209.7678,0.66,0.26,,,,,K0,5600,,1.07,0.35,[Fe/H],4.28,37.0169,7.20856,5.499,7.00926
HD 141937 b,HD 141937,1,1,2002,653.21997,1.5,,,3079.7727,9.69,0.41,,,,,,5870,1.03,1.09,0.11,[Fe/H],4.45,33.3622,7.25,5.764,7.09149
HD 142 A d,HD 142,2,3,2022,108.45299,0.474,,,82.63539,0.26,0.13,,,,,,,,1.21,,,,26.1853,5.7,4.474,5.58442
HD 142 b,HD 142,2,3,2001,351.43394,1.039,,,396.96768,1.249,0.158,,,,,,,,1.21,,,,26.1853,5.7,4.474,5.58442
HD 142 c,HD 142,2,3,2012,10159.64279,9.811,,,3464.64746,10.901,0.277,,,90.374,,,,,1.21,,,,26.1853,5.7,4.474,5.58442
HD 142022 A b,HD 142022 A,2,1,2005,1928,2.93,,,1411.1652,4.44,0.53,,,,,,5421,1.04,0.9,0.19,[Fe/H],4.35,34.2802,7.7,5.964,7.51423
HD 142245 b,HD 142245,3,1,2011,1299,2.78,,,975.7381,3.07,0,,,,,,4922,4.63,3.5,0.17,[Fe/H],3.65,97.2305,7.46,5.11,7.18949
HD 142415 b,HD 142415,1,1,2003,386.29999,1.06,,,530.7761,1.67,0.5,,,,,,5940,1.04,1.07,0.13,[Fe/H],4.44,35.5318,7.33,5.892,7.17789
HD 143105 b,HD 143105,1,1,2016,2.1974,0.0379,,,384.5743,1.21,0.07,,,,,F5,6380,,1.51,0.15,[Fe/H],4.37,46.7789,6.77005,5.519,6.62583
HD 143361 b,HD 143361,1,1,2008,1039.15,1.988,,,1122.57556,3.532,0.197,,,,,,5507,0.92,0.97,0.14,[Fe/H],4.47,68.5146,9.2,7.488,9.01602
HD 144899 b,HD 144899,1,1,2022,40.43914,0.242,,,20.34102,0.064,0.821,,,,,,,,1.16,,,,115.665,8.97,7.499,8.81343
HD 145377 b,HD 145377,1,1,2008,103.95,0.45,,,1913.3366,6.02,0.31,,,,,,6014,1.05,1.2,0.11,[Fe/H],4.47,53.4884,9.236,6.706,7.96999
HD 145457 b,HD 145457,1,1,2010,176.13,0.762,,,888.01257,2.794,0.111,,,,,,4757,9.9,1.9,-0.14,[Fe/H],2.77,135.292,6.57226,4.122,6.28309
HD 145675 c,14 Her,1,2,2021,15732.45889,11.924,,,1597.08775,5.025,0.393,,,129.097,,,,,0.91,,,,17.9323,6.61935,4.714,6.383
HD 145934 b,HD 145934,1,1,2015,2751.53433,4.89,,,658.54046,2.072,0.078,,,81.958,,,,,2.06,,,,227.881,8.495,6.145,8.24065
HD 1461 b,HD 1461,1,2,2010,5.77152,0.0634,,,6.44,0.02026,0.172,,,,,G0 V,5765,,1.02,0.19,[Fe/H],4.38,23.4534,6.47933,4.897,6.29454
HD 1461 c,HD 1461,1,2,2015,13.5052,0.1117,,,5.59,0.01759,0.305,,,,,G0 V,5765,,1.02,0.19,[Fe/H],4.38,23.4534,6.47933,4.897,6.29454
HD 147018 b,HD 147018,1,2,2009,44.236,0.2388,,,674,2.12,0.4686,,,,,G9 V,5441,,0.93,0.1,[Fe/H],4.42,40.4256,8.3,6.571,8.11145
HD 147018 c,HD 147018,1,2,2009,1008,1.922,,,2080,6.56,0.133,,,,,G9 V,5441,,0.93,0.1,[Fe/H],4.42,40.4256,8.3,6.571,8.11145
HD 147379 b,HD 147379,2,1,2017,86.58,,,,21.6,0.06796,0.063,,,,,M0.0 V,4090,,0.58,0.16,[Fe/H],4.61,10.7643,8.61,4.953,7.90052
HD 147513 b,HD 147513,2,1,2003,528.4,1.32,,,385,1.21,0.26,,,,,,5883,,1.11,0.06,[Fe/H],4.51,12.9032,5.37,3.933,5.22664
HD 14787 b,HD 14787,1,1,2018,676.6,1.7,,,356.28743,1.121,0.155,,,,,,4946,5.01,1.43,,,3.23,119.137,7.63,5.388,7.37839
HD 147873 b,HD 147873,2,2,2016,116.596,0.522,,,1633.6462,5.14,0.207,,,,,G1 V,5972,2.29,1.38,0.03,[Fe/H],3.86,109.055,7.96,6.581,7.81828
HD 147873 c,HD 147873,2,2,2016,491.54,1.36,,,731.009,2.3,0.23,,,,,G1 V,5972,2.29,1.38,0.03,[Fe/H],3.86,109.055,7.96,6.581,7.81828
HD 148156 b,HD 148156,1,1,2009,1027,2.45,,,270.144,0.85,0.52,,,,,,6308,1.21,1.22,0.29,[Fe/H],4.56,57.1289,7.69,6.397,7.55508
HD 148164 b,HD 148164,1,2,2018,328.55,0.993,,,390.9309,1.23,0.587,,,,,F8,6032,1.34,1.21,0.24,[Fe/H],,77.1971,8.23,6.906,8.0907
HD 148164 c,HD 148164,1,2,2018,5062,6.15,,,1640.0028,5.16,0.125,,,,,F8,6032,1.34,1.21,0.24,[Fe/H],,77.1971,8.23,6.906,8.0907
HD 148427 b,HD 148427,1,1,2009,331.5,1.04,,,413.179,1.3,0.16,,,,,,5025,3.86,1.64,0.08,[Fe/H],3.48,71.3499,6.90498,4.682,6.63542
HD 149026 b,HD 149026,1,1,2005,2.87589,,8.295,0.74,120.7754,0.38,0,,,84.55,,,6179,1.41,1.42,0.32,[Fe/H],4.37,75.8643,8.15,6.819,8.01416
HD 149143 b,HD 149143,1,1,2005,4.07182,0.053,,,422.7139,1.33,0.0167,,,,,G0,5856,1.44,1.2,0.29,[Fe/H],,73.2801,7.89,6.434,7.74081
HD 149806 b,HD 149806,1,1,2022,16521.52778,12.404,,,4003.68444,12.597,0.357,,,13.574,,,,,0.93,,,,20.2727,7.08308,5.183,6.86807
HD 150010 b,HD 150010,1,1,2022,562,1.4,,,762.78818,2.4,0.2,,,,,K2 III,4153,16.2,1.3,-0.25,[Fe/H],2.1,144.49,6.2893,3.177,5.86642
HD 1502 b,HD 1502,1,1,2011,428.5,1.262,,,874.0325,2.75,0.031,,,,,,4947,4.67,1.46,,,3.18,190.953,8.36,6.12,8.10417
HD 150706 b,HD 150706,1,1,2012,5894,6.7,,,861.28,2.71,0.38,,,,,G0 V,5961,0.96,1.17,-0.01,[Fe/H],4.5,28.2697,7.03,5.565,6.85038
HD 151450 b,HD 151450,1,2,2022,21.89288,0.16,,,38.45724,0.121,0.496,,,,,,,,1.14,,,,43.6002,7.43,6.099,7.28278
HD 151450 c,HD 151450,1,2,2022,18144.76236,14.131,,,1636.18064,5.148,0.138,,,42.369,,,,,1.14,,,,43.6002,7.43,6.099,7.28278
HD 152079 b,HD 152079,1,1,2009,2918.92,4.187,,,845.74563,2.661,0.532,,,,,,5907,1.13,1.15,0.29,[Fe/H],4.37,87.8888,9.18,7.634,9.01051
HD 152581 b,HD 152581,1,1,2011,686.5,1.66,,,594.02427,1.869,0.04,,,,,,5027,5.14,1.3,,,3.29,165.76,8.38,6.173,8.12746
HD 152843 b,HD 152843,1,2,2021,11.6264,0.1053,3.41,0.304,11.56,0.03637,0.14,255.7,,88.85,,G0,6310,1.43,1.15,-0.16,[Fe/H],4.19,107.898,8.855,7.629,8.76412
HD 152843 c,HD 152843,1,2,2021,24.38,,5.83,0.52,27.5,0.08652,0.115,,,88.89,,G0,6310,1.43,1.15,-0.16,[Fe/H],4.19,107.898,8.855,7.629,8.76412
HD 15337 b,HD 15337,1,2,2019,4.75615,0.0522,1.64,0.146,7.51,0.02363,0.09,,1001,88.5,,K1 V,5125,0.86,0.9,0.15,[Fe/H],4.53,44.8155,9.1,7.044,8.85598
HD 15337 c,HD 15337,1,2,2019,17.1784,0.1268,2.39,0.213,8.11,0.02552,0.05,,642,88.5,,K1 V,5125,0.86,0.9,0.15,[Fe/H],4.53,44.8155,9.1,7.044,8.85598
HD 153557 b,HD 153557,1,3,2022,7.29903,0.068,,,20.34102,0.064,0.065,,,,,,,,0.79,,,,17.9412,7.83,5.458,7.50548
HD 153557 c,HD 153557,1,3,2022,15.27018,0.111,,,17.48056,0.055,0.511,,,,,,,,0.79,,,,17.9412,7.83,5.458,7.50548
HD 153557 d,HD 153557,1,3,2022,40654.64809,21.449,,,8725.66109,27.454,0.152,,,14.324,,,,,0.79,,,,17.9412,7.83,5.458,7.50548
HD 153950 b,HD 153950,1,1,2008,499.39999,1.28,,,937.5985,2.95,0.34,,,,,,6124,1.28,1.25,-0.01,[Fe/H],4.32,48.4549,7.39,6.006,7.23813
HD 154088 b,HD 154088,1,1,2021,18.56,0.134,,,6.6,0.02077,0.344,,,,,K0 IV-V,5374,,0.91,0.28,[Fe/H],4.37,18.2692,6.59,4.758,6.36693
HD 154345 b,HD 154345,1,1,2006,3341.55884,4.21,,,260.6206,0.82,0.04,,,,,,5468,0.85,0.71,-0.11,[Fe/H],4.43,18.284,6.76,5.003,6.56771
HD 154391 b,HD 154391,1,1,2023,5163,7.46,,,2892.2385,9.1,0.2,,,47,,K1 III,4909,8.56,2.07,0.1,[Fe/H],2.89,100.947,6.1552,3.896,5.89921
HD 154672 b,HD 154672,1,1,2008,163.94,0.6,,,1706.7471,5.37,0.61,,,,,,5743,1.32,1.18,0.25,[Fe/H],4.27,63.0484,8.21,6.612,8.03732
HD 154857 b,HD 154857,1,2,2004,408.60001,1.29,,,778.6835,2.45,0.46,,,,,,5589,2.3,1.96,-0.22,[Fe/H],4.01,63.4482,7.24,5.509,7.04837
HD 154857 c,HD 154857,1,2,2014,3452,5.36,,,819.97,2.58,0.06,,,,,G5 V,5605,1.76,1.72,-0.2,[Fe/H],3.82,63.4482,7.24,5.509,7.04837
HD 155193 b,HD 155193,1,1,2021,352.65,1.04,,,238.37131,0.75,0.21,,,0.711,,F8 IV,6239,,1.22,0.05,[Fe/H],4.26,57.7995,7.0092,5.715,6.86686
HD 155358 b,HD 155358,1,2,2007,194.3,0.63,,,314.6517,0.99,0.17,,,,,,5905,1.38,1.15,-0.6,[Fe/H],4.22,43.6197,7.28,5.808,7.12074
HD 155358 c,HD 155358,1,2,2007,391.9,1.02,,,261,0.82,0.16,,,,,G0,5900,,0.92,-0.51,[Fe/H],4.16,43.6197,7.28,5.808,7.12074
HD 155918 b,HD 155918,1,2,2022,1.87567,0.03,,,7.62788,0.024,0.194,,,,,,,,1.03,,,,27.561,7,5.459,6.8406
HD 155918 c,HD 155918,1,2,2022,17202.19446,13.183,,,1878.04806,5.909,0.071,,,31.771,,,,,1.03,,,,27.561,7,5.459,6.8406
HD 156098 b,HD 156098,1,2,2022,21.85849,0.167,,,15.89142,0.05,0.109,,,,,,,,1.29,,,,48.249,5.53,4.357,5.41159
HD 156098 c,HD 156098,1,2,2022,7841.5839,8.415,,,1661.60691,5.228,0.391,,,23.462,,,,,1.29,,,,48.249,5.53,4.357,5.41159
HD 156279 b,HD 156279,1,2,2011,133.40355,0.502,,,2997.75753,9.432,0.647,,,,,,,,0.94,,,,36.1945,8.07,6.269,7.86569
HD 156279 c,HD 156279,1,2,2018,4818.25358,5.486,,,3098.82697,9.75,0.261,,,74.699,,,,,0.94,,,,36.1945,8.07,6.269,7.86569
HD 156411 b,HD 156411,1,1,2009,842.2,1.88,,,235.18,0.74,0.22,,,,,F8 IV/V,5900,2.16,1.25,-0.12,[Fe/H],4.07,56.8655,6.67,5.17,6.5121
HD 156668 b,HD 156668,1,2,2010,4.6455,0.05,,,4.15,0.013,0,,,,,,4850,0.72,0.77,0.05,[Fe/H],4.6,24.3323,8.43,6.004,8.10753
HD 156668 c,HD 156668,1,2,2021,811.3,1.57,,,31.4968,0.0991,0.089,,,,,,4903.69,0.77,0.79,0.049,[Fe/H],4.55,24.3323,8.43,6.004,8.10753
HD 156846 b,HD 156846,2,1,2007,359.51001,1.12,,,3391.2461,10.67,0.85,,,,,,6090,1.9,1.38,0.15,[Fe/H],4.02,47.7332,6.5,5.149,6.3623
HD 158038 b,HD 158038,1,1,2011,521,1.5,,,486.2799,1.53,0.29,,,,,,4860,4.5,1.3,0.19,[Fe/H],3.24,94.8625,7.47,5.156,7.2068
HD 158259 b,HD 158259,1,5,2020,2.178,,,,2.22,0.00698,,,,,,G0,,1.21,1.08,,,,27.0498,6.47915,4.965,6.30694
HD 158259 c,HD 158259,1,5,2020,3.432,,,,5.6,0.01762,,,,,,G0,,1.21,1.08,,,,27.0498,6.47915,4.965,6.30694
HD 158259 d,HD 158259,1,5,2020,5.1980814,,,,5.41,0.01702,,,,,,G0,,1.21,1.08,,,,27.0498,6.47915,4.965,6.30694
HD 158259 e,HD 158259,1,5,2020,7.951,,,,6.08,0.01913,,,,,,G0,,1.21,1.08,,,,27.0498,6.47915,4.965,6.30694
HD 158259 f,HD 158259,1,5,2020,12.028,,,,6.14,0.01932,,,,,,G0,,1.21,1.08,,,,27.0498,6.47915,4.965,6.30694
HD 158996 b,HD 158996,1,1,2018,820.2,2.1,,,4449.62,14,0.13,,,,,K5 III,4069,50.3,1.8,-0.2,[Fe/H],1.4,283.659,5.72291,2.133,5.18609
HD 15906 b,HD 15906,1,2,2023,10.924709,0.09,2.24,0.2,,,0.11,33.14,668,87.98,,K V,4757,0.76,0.79,0.02,[Fe/H],4.49,45.5621,9.78,7.459,9.47728
HD 15906 c,HD 15906,1,2,2023,21.583298,0.141,2.93,0.261,,,0.04,13.37,532,88.75,,K V,4757,0.76,0.79,0.02,[Fe/H],4.49,45.5621,9.78,7.459,9.47728
HD 159243 b,HD 159243,1,2,2013,12.62,0.11,,,359.13,1.13,0.02,,,,,G0 V,6123,1.12,1.12,0.05,[Fe/H],4.55,73.3055,8.65,7.297,8.51188
HD 159243 c,HD 159243,1,2,2013,248.4,0.8,,,603.9,1.9,0.075,,,,,G0 V,6123,1.12,1.12,0.05,[Fe/H],4.55,73.3055,8.65,7.297,8.51188
HD 159868 b,HD 159868,1,2,2006,1184.1,2.32,,,704.94694,2.218,0.024,,,,,,5534,2.13,1.19,,,3.92,55.8503,7.24,5.535,7.04579
HD 159868 c,HD 159868,1,2,2012,351,1.032,,,244.09344,0.768,0.184,,,,,,5534,2.13,1.19,,,3.92,55.8503,7.24,5.535,7.04579
HD 1605 b,HD 1605,1,2,2015,577.2,1.492,,,296.85322,0.934,0.095,,,,,K1 IV,4915,3.49,1.33,0.22,[Fe/H],,88.8047,7.52,5.272,7.25688
HD 1605 c,HD 1605,1,2,2015,2149,3.584,,,1150.5446,3.62,0.099,,,,,K1 IV,4915,3.49,1.33,0.22,[Fe/H],,88.8047,7.52,5.272,7.25688
HD 160691 b,HD 160691,1,4,2000,645,,,,1366.66215,4.3,,,,60,,G3 IV-V,5773,1.33,1.13,0.28,[Fe/H],4.2,15.5981,5.12,3.683,4.94916
HD 160691 c,HD 160691,1,4,2004,3947,,,,1398.44499,4.4,,,,60,,G3 IV-V,5773,1.33,1.13,0.28,[Fe/H],4.2,15.5981,5.12,3.683,4.94916
HD 160691 d,HD 160691,1,4,2004,9.6392,,,,,,,,,,,G3 IV-V,5773,1.33,1.13,0.28,[Fe/H],4.2,15.5981,5.12,3.683,4.94916
HD 160691 e,HD 160691,1,4,2006,307.9,,,,2224.79885,7,,,,60,,G3 IV-V,5773,1.33,1.13,0.28,[Fe/H],4.2,15.5981,5.12,3.683,4.94916
HD 161178 b,HD 161178,1,1,2021,279.3,0.85,,,181.16219,0.57,0.044,,,,,G9 III,4786,10.95,1.06,-0.21,[Fe/H],2.38,107.188,5.88375,3.657,5.59958
HD 16141 b,HD 16141,2,1,2000,75.523,0.36,,,82.6358,0.26,0.25,,,,,,5757,1.48,1.11,0.13,[Fe/H],4.14,37.7861,6.834,5.266,6.65773
HD 16175 b,HD 16175,1,1,2009,990,2.12,,,1620.933,5.1,0.6,,,,,,5981,1.72,1.63,0.3,[Fe/H],4.18,59.859,7.297,5.853,7.1291
HD 162020 b,HD 162020,1,1,2002,8.4282,0.08,,,3127.4472,9.84,0.28,,,,,,4723,0.75,0.42,-0.1,[Fe/H],4.31,30.8248,9.1,6.539,8.75949
HD 163607 b,HD 163607,1,2,2010,75.2203,0.362,,,249.05159,0.7836,0.7441,,,,,,5522,1.76,1.12,,,3.97,67.7855,8,6.271,7.81298
HD 163607 c,HD 163607,1,2,2010,1272,2.39,,,699.54383,2.201,0.08,,,,,,5522,1.76,1.12,,,3.97,67.7855,8,6.271,7.81298
HD 16417 b,HD 16417,2,1,2008,17.24,0.14,,,22.1,0.0696,0.2,,,,,G1 V,,,1.2,0.06,[Fe/H],,25.3936,5.78,4.246,5.61319
HD 164509 b,HD 164509,2,1,2010,280.17,0.87,,,140.79869,0.443,0.238,,,,,G5,5859,1.11,1.12,0.2,[Fe/H],,53.1119,8.1,6.586,7.95594
HD 164595 b,HD 164595,2,1,2015,40,0.23,,,16.14,0.05078,0.088,,,,,G2 V,5790,,0.99,-0.04,[Fe/H],4.44,28.254,7.08597,5.482,6.89472
HD 164604 b,HD 164604,1,1,2009,641.472,1.331,,,635,1.99792,0.35,,,,,K3.5 V,4684,,0.77,,,,39.3633,9.62,7.169,9.32786
HD 164922 b,HD 164922,1,4,2005,1207,2.16,,,116,0.36497,0.08,,,,,,5390,0.95,0.93,0.18,[Fe/H],4.46,22.0016,7.01227,5.113,6.78614
HD 164922 c,HD 164922,1,4,2016,75.74,0.341,,,13,0.0409,0.12,,,,,,5390,0.95,0.93,0.18,[Fe/H],4.46,22.0016,7.01227,5.113,6.78614
HD 164922 d,HD 164922,1,4,2020,12.458,0.103,,,4,0.01259,0.12,,,,,,5390,0.95,0.93,0.18,[Fe/H],4.46,22.0016,7.01227,5.113,6.78614
HD 164922 e,HD 164922,1,4,2021,41.763,0.2292,,,10.52012,0.0331,0.086,,,,,,5393.43,1,0.92,0.197,[Fe/H],4.4,22.0016,7.01227,5.113,6.78614
HD 165131 b,HD 165131,1,1,2023,2342.6,3.54,,,5943.39121,18.7,0.6708,,,70,,G3/5 V,5870,,1.06,0.06,[Fe/H],4.39,57.4263,8.42,6.927,8.26134
HD 165155 b,HD 165155,1,1,2016,434.5,1.13,,,918.5287,2.89,0.2,,,,,G8 V,5426,0.95,1.02,0.09,[Fe/H],4.49,63.3574,9.36,7.584,9.21413
HD 1666 b,HD 1666,1,1,2015,270,0.94,,,2040,6.43,0.63,,,,,F7 V,6317,1.93,1.5,0.37,[Fe/H],4.06,117.908,8.17,6.964,8.05121
HD 166724 b,HD 166724,1,1,2012,5144,5.42,,,1121.89,3.53,0.734,,,,,K0 IV-V,5127,,0.81,-0.09,[Fe/H],4.43,45.1342,9.33,7.246,9.06863
HD 167042 b,HD 167042,1,1,2007,417.67,1.22,,,444.00628,1.397,0.01,,,,,K1 IV,4919,4.63,1.39,-0.01,[Fe/H],3.23,49.6633,5.98796,3.55,5.72384
HD 167677 b,HD 167677,1,1,2023,1820,2.877,,,905.81096,2.85,0.182,,,28.7,,G5 V,5474,,0.96,-0.29,[Fe/H],4.43,54.3258,8.9,7.155,8.7114
HD 167768 b,HD 167768,1,1,2022,20.6532,0.1512,,,270.15415,0.85,0.149,,,,,G8 III,4851,9.7,1.08,-0.67,[Fe/H],2.5,107.214,5.98894,3.895,5.7545
HD 168009 b,HD 168009,1,1,2021,15.1479,0.1192,,,9.53485,0.03,0.12,,,,,,5778.33,1.21,0.99,0.018,[Fe/H],4.27,23.3032,6.295,4.756,6.14052
HD 168443 b,HD 168443,1,2,1998,58.11187,0.292,,,2424.39509,7.628,0.53,,,,,,,,0.98,,,,39.6245,6.92122,5.211,6.73166
HD 168443 c,HD 168443,1,2,2000,1753.1096,2.842,,,5500.33841,17.306,0.21,,,91.218,,,,,0.98,,,,39.6245,6.92122,5.211,6.73166
HD 168746 b,HD 168746,1,1,2002,6.404,0.07,,,85.8141,0.27,0.11,,,,,,5570,1.09,1.07,-0.08,[Fe/H],4.39,41.5681,7.95,6.253,7.77169
HD 168863 b,HD 168863,1,1,2022,14773.93272,10.961,,,2154.8766,6.78,0.187,,,129.839,,,,,0.8,,,,39.8979,9.35,7.04,9.06821
HD 1690 b,HD 1690,1,1,2010,533,1.36,,,2793.7257,8.79,0.64,,,,,,4374,21.66,1.86,-0.27,[Fe/H],2.04,752.615,9.19,6.018,8.74943
HD 16905 b,HD 16905,1,1,2022,10256,8.8,,,3591.461,11.3,0.68,,,43,,K3 V,,,0.85,,,,39.7401,9.44,7.086,9.11324
HD 169142 b,HD 169142,1,1,2023,,37.2,,,953.48522,3,,,,13,,,,,1.85,,,,113.6,8.156,6.41,8.05449
HD 169830 b,HD 169830,1,2,2000,225.67372,0.765,,,804.4237,2.531,0.294,,,,,,,,1.17,,,,37.6048,5.9,4.688,5.77641
HD 169830 c,HD 169830,1,2,2003,1818.82339,3.075,,,2437.42605,7.669,0.246,,,24.469,,,,,1.17,,,,37.6048,5.9,4.688,5.77641
HD 170469 b,HD 170469,2,1,2007,1145,2.24,,,209.7678,0.66,0.11,,,,,,5842,1.24,1.1,0.29,[Fe/H],4.3,60.178,8.21,6.707,8.04953
