pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
K2-266 b,K2-266,2,4,2018,0.658524,0.01306,3.3,11.26782,nan,1196120.0,1515.0,75.32,nan,1.72864755210087,10.160212987144567,0.45,0.55,K6,4285.0,0.7,0.69,-0.12,[Fe/H],4.58,0.4549185209773808,0.655378252875121,77.5586,11.625,25.127558116734072
K2-266 c,K2-266,2,4,2018,7.814,0.0679,0.705,0.29013,0.042,44064.0,664.0,88.28,nan,4.564925156673282,5.731986979892149,0.3,0.7,K6,4285.0,0.7,0.69,-0.12,[Fe/H],4.58,0.4549185209773808,0.655378252875121,77.5586,11.625,58.40857225515869
K2-266 d,K2-266,2,4,2018,14.697,0.1035,2.93,8.9,0.047,18972.0,538.0,89.46,nan,1.9507226206185786,10.179947942557513,0.45,0.55,K6,4285.0,0.7,0.69,-0.12,[Fe/H],4.58,0.4549185209773808,0.655378252875121,77.5586,11.625,22.136024267882952
K2-266 e,K2-266,2,4,2018,19.482,0.1249,2.73,14.3,0.043,13028.8,490.0,89.45,nan,3.874864058955642,18.840895231288258,0.3,0.7,K6,4285.0,0.7,0.69,-0.12,[Fe/H],4.58,0.4549185209773808,0.655378252875121,77.5586,11.625,62.08248565256264
