pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
HD 136352 b,HD 136352,1,3,2019,11.57797,0.0964,1.664,4.72,0.0,151776.0,905.0,88.49,nan,5.647944328866449,16.73887036381696,0.3,0.7,G5,5664.0,1.06,0.87,-0.24,[M/H],4.39,1.1274281576013512,1.6242290918019777,14.682,5.65,55.01727614132427
HD 136352 c,HD 136352,1,3,2019,27.59221,0.1721,2.916,11.24,0.0,47736.0,677.0,88.571,nan,2.499263961139416,12.980220293604013,0.45,0.55,G5,5664.0,1.06,0.87,-0.24,[M/H],4.39,1.1274281576013512,1.6242290918019777,14.682,5.65,16.210272496537314
HD 136352 d,HD 136352,1,3,2019,107.245,0.425,2.562,8.82,0.0,7806.400000000001,431.0,89.73,nan,2.8916091039448744,13.194748767557057,0.45,0.55,G5,5664.0,1.06,0.87,-0.24,[M/H],4.39,1.1274281576013512,1.6242290918019777,14.682,5.65,16.608022088161068
