pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
K2-136 b,K2-136,2,3,2017,7.9752,0.0707,1.014,4.3,0.14,45560.0,610.0,nan,nan,22.738560372192506,41.06608831497946,0.4,0.6,K4,4500.0,0.68,0.74,-0.02,[M/H],4.68,0.4263565644488501,0.6142304773830471,59.2474,11.101,22.48720338684003
K2-136 c,K2-136,2,3,2017,17.30713,0.1185,3.0,18.1,0.047,16197.6,470.0,nan,nan,3.6959253025356515,19.74816997710765,0.3,0.7,K4,4500.0,0.68,0.74,-0.02,[M/H],4.68,0.4263565644488501,0.6142304773830471,59.2474,11.101,62.6980752227136
K2-136 d,K2-136,2,3,2017,25.575,0.1538,1.565,3.0,0.071,9615.2,420.0,nan,nan,4.315057662210167,12.027721462278018,0.3,0.7,K4,4500.0,0.68,0.74,-0.02,[M/H],4.68,0.4263565644488501,0.6142304773830471,59.2474,11.101,63.15038125100252
