pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
K2-285 b,K2-285,1,4,2018,3.471745,0.03817,2.59,9.68,0.0,318661.6,1089.0,86.846,nan,3.071739904229332,14.16989461660656,0.3,0.7,K2,4975.0,0.79,0.83,0,[Fe/H],4.4,0.6926695044321991,0.9978941474163945,154.961,12.075,55.8905830849205
K2-285 c,K2-285,1,4,2018,7.138048,0.0824,3.53,15.68,0.0,68476.0,741.0,89.861,nan,1.9653066183901893,12.356271398900102,0.45,0.55,K2,4975.0,0.79,0.83,0,[Fe/H],4.4,0.6926695044321991,0.9978941474163945,154.961,12.075,17.50069270980597
K2-285 d,K2-285,1,4,2018,10.45582,0.1178,2.48,6.5,0.0,33469.6,620.0,89.643,nan,2.3494526058119685,10.377692217303547,0.45,0.55,K2,4975.0,0.79,0.83,0,[Fe/H],4.4,0.6926695044321991,0.9978941474163945,154.961,12.075,17.362385510203236
K2-285 e,K2-285,1,4,2018,14.76289,0.18041,1.95,10.7,0.0,14280.0,501.0,89.799,nan,7.955881724628304,27.631556279061346,0.25,0.75,K2,4975.0,0.79,0.83,0,[Fe/H],4.4,0.6926695044321991,0.9978941474163945,154.961,12.075,52.12828864256813
