pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
HD 219134 b,HD 219134,1,6,2015,3.092926,0.03876,1.602,4.74,0.0,239631.99999999997,1015.0,85.05,nan,6.356223811722965,18.136108670165587,0.25,0.75,K4,4699.0,0.78,0.81,0.11,[Fe/H],4.57,0.600453381743465,0.8650430134489001,6.53127,5.56911,53.84266413285177
HD 219134 c,HD 219134,1,6,2015,6.76458,0.0653,1.511,4.36,0.062,84456.0,782.0,87.28,nan,6.967892964633956,18.752032705703105,0.25,0.75,K4,4699.0,0.78,0.81,0.11,[Fe/H],4.57,0.600453381743465,0.8650430134489001,6.53127,5.56911,54.142907380906365
HD 219134 d,HD 219134,1,6,2015,46.859,0.237,1.61,16.17,0.138,6419.2,410.0,nan,nan,21.361943708795458,61.25605994006173,0.4,0.6,K4,4699.0,0.78,0.81,0.11,[Fe/H],4.57,0.600453381743465,0.8650430134489001,6.53127,5.56911,21.130927355721127
HD 219134 f,HD 219134,1,6,2015,22.717,0.1463,1.31,7.3,0.148,16836.8,523.0,nan,nan,17.902651090058356,41.77063331947818,0.4,0.6,K4,4699.0,0.78,0.81,0.11,[Fe/H],4.57,0.600453381743465,0.8650430134489001,6.53127,5.56911,19.549551098381627
