pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
GJ 273 b,GJ 273,1,2,2017,18.6501,0.1109,1.46,1.78,0.05,54658.399999999994,259.0,nan,nan,3.1533328089417,8.19983440533515,0.3,0.7,M2,3567.0,0.254,0.282,0.36,0.36,4.66,0.9105884307178816,1.3118389937829245,12.36,8.56,81.31736955807668
GJ 273 c,GJ 273,1,2,2019,5.367,0.0574,2.26,2.54,0.0,6595.999999999999,140.0,nan,nan,1.213156344147945,4.883235054301929,0.45,0.55,M2,3567.0,0.254,0.282,0.36,0.36,4.66,0.9105884307178816,1.3118389937829245,12.36,8.56,19.113804912950528
