pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
LP 890-9 b,LP 890-9,1,1,2020,8.26,0.051,1.2,1.34,0.0,27893.600000000002,241.0,nan,nan,4.275327957007746,9.137620086092628,0.3,0.7,M5,3292.0,0.186,0.183,-0.23,-0.23,4.65,2.915308657497375,4.1999386844866295,27.63,8.76,56.294796844671204
LP 890-9 b,LP 890-9,1,2,2022,2.7299025,0.01875,1.32,13.2,nan,5562.4,396.0,89.67,nan,31.641751254528756,74.39039418799965,0.4,0.6,M7,2850.0,0.16,0.12,-0.028,[Fe/H],5.13,0.07349333032579684,0.10587814785692087,32.4298,18.0,30.219297350668167
LP 890-9 c,LP 890-9,1,2,2022,8.457463,0.03984,1.367,25.3,nan,1237.6000000000001,272.0,89.287,nan,54.60386094137991,132.94569638406594,0.4,0.6,M7,2850.0,0.16,0.12,-0.028,[Fe/H],5.13,0.07349333032579684,0.10587814785692087,32.4298,18.0,50.379158420091144
