pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
Kepler-20 b,Kepler-20,2,6,2011,3.6961049,0.04565,1.773,9.7,0.083,450160.0,1187.0,87.36,nan,9.595197138288283,30.300169242375297,0.25,0.75,G7,5495.0,0.92,0.93,0.07,[Fe/H],nan,0.9107914609943637,1.3121314892996947,282.563,12.61,48.947529835999795
Kepler-20 c,Kepler-20,2,6,2011,10.8540774,0.0936,2.894,11.1,0.076,107032.0,828.0,89.815,nan,2.5248511099827105,13.014177220111426,0.45,0.55,G7,5495.0,0.92,0.93,0.07,[Fe/H],nan,0.9107914609943637,1.3121314892996947,282.563,12.61,16.4089880026308
Kepler-20 d,Kepler-20,2,6,2011,77.611455,0.3474,2.606,13.4,0.082,7765.6,430.0,89.708,nan,4.174360370118574,19.375225546532892,0.3,0.7,G7,5495.0,0.92,0.93,0.07,[Fe/H],nan,0.9107914609943637,1.3121314892996947,282.563,12.61,56.329654399726294
Kepler-20 e,Kepler-20,2,6,2011,6.0984882,0.0637,0.821,0.76,0.092,230928.00000000003,1004.0,87.63,nan,7.571684257932366,11.07179584764151,0.25,0.75,G7,5495.0,0.92,0.93,0.07,[Fe/H],nan,0.9107914609943637,1.3121314892996947,282.563,12.61,51.024469922322396
Kepler-20 f,Kepler-20,2,6,2011,19.578328,0.1387,0.952,1.4,0.094,48824.0,681.0,88.788,nan,8.945931430404817,15.168580129782434,0.25,0.75,G7,5495.0,0.92,0.93,0.07,[Fe/H],nan,0.9107914609943637,1.3121314892996947,282.563,12.61,51.92543086763897
