st_name,Cumulated_Probability
K2-18,95.49117925731275
Kepler-452,94.6410175596966
KOI-4878,85.29486307401095
Ross 128,78.90771729895802
Kepler-22,73.3944160352554
Kepler-442,69.62530959849487
Trappist-1,68.90176616802412
Wolf 1069,68.67602297491047
LHS 1140,68.59809209202871
K2-25,68.31741058965908
K2-3,67.5544138371079
Proxima Centauri,67.45021635051364
HD 260655,67.42518622410259
TOI-1452,66.95909287981516
TOI-2136,66.68773945799342
GJ 486,65.6981601987855
TOI-1695,65.02008286759073
TOI-244,64.24744430166464
TOI-776,64.09634188852449
TOI-836,63.84159034301081
TOI-1266,63.229878079610025
G 9-40,63.163562062566186
TOI-715,62.94725686486588
Wolf 327,62.61217606650618
TOI-1075,61.058014820260524
TOI-824,60.415093755304255
Wolf 503,60.19408438103479
Kepler-1704,59.33134609506135
K2-110,58.42959716075713
K2-216,57.47862784937309
HIP 116454,56.808095273167
HD 207897,56.19222973268191
TOI-238,56.02380083361287
TOI-1416,55.79395099934808
Kepler-78,55.577428771889736
HD 95338,55.060517145988605
Teegarden's Star,55.02353769767963
EPIC 229004835,54.99834204347235
TOI-132,54.96788350116389
K2-222,54.93998039700652
TOI-733,54.8319733568696
TOI-2196,54.7913924535757
K2-263,54.71140103209638
Kepler-1229,54.0448171897714
Kepler-1652,53.89380409049292
Kepler-538,53.82743173871556
K2-182,53.73008420522385
K2-131,53.362988871926184
Kepler-323,53.01598652385762
HD 20329,52.875523877742445
K2-66,50.35514742388094
GJ 273,50.2155872355136
K2-292,50.15651923797268
TOI-1260,50.14057000592868
K2-136,49.445219953518716
Kepler-21,47.04338979667323
TOI-1470,46.8444259592546
TOI-561,46.60910565797062
Sun,43.36027780158877
K2-199,42.71292712116771
K2-141,42.65593971415201
HD 23472,42.60782786197795
HD 73583,42.414038819560226
HIP 29442,42.160415894513214
K2-266,41.93866007308459
Kepler-138,40.95690919548739
GJ 667 C,40.774723155182066
TOI-1064,40.4870632136724
LP 890-9,40.29922788537966
TOI-700,40.11738269786809
K2-36,39.34732926304639
Kepler-1661,38.72295356182871
Kepler-20,38.64393760278524
Kepler-10,36.56714947032246
K2-285,36.32278353590723
Kepler-107,35.37271041234278
HD 93963 A,35.368897641272504
HD 22946,35.04997594721373
TOI-2000,34.780020316351894
TOI-1899,34.53646819602177
EPIC 220674823,33.99139259664847
K2-38,33.982747247030446
TOI-532,33.411875766984366
LP 791-18,32.727611364517706
TOI-5344,32.64201565976837
GJ 3929,32.59608457883963
GJ 3473,32.43278507881477
LTT 1445 A,32.29953499412559
NGTS-1,32.23300370441512
TOI-2095,32.04623115041304
TOI-3629,31.87417342991921
TOI-1728,31.682611798035246
GJ 806,31.298237268843497
TOI-1231,31.20273836047103
EPIC 249893012,31.147107524364817
TOI-3884,30.79901610698787
TOI-4860,30.726286674372925
HATS-74 A,30.704653837253765
WD 1856+534,30.514594157736273
GJ 1214,30.18869309276199
GJ 1061,30.038932882467748
K2-415,29.81785972528324
TOI-5205,29.638256825249655
TOI-1759,29.584909505277047
HATS-77,29.360803417491702
HD 136352,29.278523575340884
Kepler-102,28.853586447082108
TOI-1246,28.55507177006394
HATS-49,28.395911852928766
TOI-2285,28.194433771570473
TOI-3757,28.129350211108083
TOI-4201,27.870808185217363
TOI-5293 A,27.753967811051567
TOI-1062,27.65783807929136
Kepler-62,27.546461091925465
TOI-3714,27.533180045432246
K2-111,27.49958779940223
TOI-1130,27.492528522583942
HATS-75,27.482164762153953
TOI-2134,27.297795092310842
Kepler-68,27.131209295292397
Kepler-93,26.90578815491244
Kepler-1649,26.81543836108176
HD 80653,26.811250160169493
K2-114,26.721002401950056
TOI-3984 A,26.70931466804612
HAT-P-68,26.389519088497106
TOI-3785,25.92455348497699
Qatar-4,25.871875118389518
Kepler-1654,25.728614399538113
HD 219134,25.580736393353835
HAT-P-63,25.187600920574127
TOI-2180,25.01703680177757
Qatar-5,25.016888175115913
HATS-17,25.007003549299313
NGTS-13,25.00000018320945
Qatar-3,25.000000093508454
TOI-1052,24.89022625987861
HIP 65 A,24.85795839259886
HATS-48 A,24.50257528935871
HATS-47,24.489796686382004
TOI-269,24.24531752643022
TOI-172,24.091195953585064
HATS-76,23.321765286337744
TOI-674,23.25242068598071
HATS-72,22.257225146579096
WASP-156,22.175270501683872
K2-27,21.96184293488659
WASP-2,21.924396274635985
HD 207496,21.923512963400288
KOI-4777,21.514589996318705
TOI-181,20.94283151988345
CoRoTID 223977153,20.879991724922522
K2-72,20.674752077437592
KPS-1,20.66159216508261
K2-329,20.595682664459453
HATS-63,20.544677987729468
NGTS-15,20.53014762384297
TOI-157,20.52452829722526
TOI-858 B,20.51735885976947
HAT-P-62,20.517298917414657
K2-140,20.515116329977104
TOI-169,20.512812785921188
TOI-3688 A,20.50552811085538
Kepler-103,20.464021891150644
WASP-19,20.364138940279215
HAT-P-25,20.343681947386845
TOI-4463 A,20.304445525387834
TOI-2570,20.25371451620651
TOI-4087,20.19740261641078
KELT-23 A,20.190080663728175
HAT-P-19,20.17444451751351
TOI-2010,20.108930447764013
EPIC 246851721,20.00001595977419
KELT-24,20.000000074238223
HATS-60,19.97838272587947
NGTS-17,19.972741823592468
TOI-905,19.964943183202163
GJ 367,19.955782264350884
