st_name,Cumulated_Probability
K2-167,19.91193670747614
WASP-45,19.763031384649963
TOI-125,19.72878793481739
WASP-77 A,19.61624722068342
TOI-2364,19.4923530262447
NGTS-16,19.342610327484156
HD 1397,19.33283708410163
TOI-2421,19.2974893167407
TOI-2818,19.248907480580886
TOI-3807,19.246530494045214
GPX-1,19.09119594620397
KELT-10,18.993175543714994
HAT-P-55,18.950827486214834
TOI-257,18.926126589843896
TOI-1789,18.923520612285042
HATS-37 A,18.90194433095374
TOI-4145 A,18.893106232415274
HD 332231,18.82729064044449
HAT-P-59,18.67975381756347
TOI-2193 A,18.64353723714761
GJ 1002,18.57188595393138
TOI-3023,18.556132066770505
WASP-163,18.534060037435538
TOI-2842,18.50550741724509
NGTS-18,18.487097671923173
HAT-P-61,18.36038278689368
K2-261,18.342841091903544
TOI-5542,18.32198889643728
TOI-1937 A,18.3067138559832
WASP-166,18.299962153318777
TOI-3912,18.267768374161577
K2-79,18.259731696218275
Kepler-19,18.215064731352964
TOI-954,18.189893129098984
HIP 9618,18.179087592975037
HAT-P-51,18.088492437537056
WASP-170,18.062624269672202
HAT-P-65,17.996517948711993
HD 3167,17.989724752241468
TOI-2567,17.98177580849538
HAT-P-58,17.970826692536225
HATS-62,17.951743814883024
HATS-38,17.872740469416406
NGTS-12,17.82296627036155
Kepler-109,17.816948176362658
TOI-2587 A,17.812667232148243
TOI-2796,17.811383484523407
TOI-1201,17.766982184314777
HAT-P-32,17.710568015758057
WASP-153,17.63321333206024
TOI-3364,17.631524805337875
TOI-564,17.612007332264017
TOI-2583 A,17.550480268407807
TOI-2641,17.53540316945165
TOI-3976 A,17.521617733483403
Kepler-409,17.364979223804564
TOI-421,17.231794161312976
TOI-1420,17.111850024609968
Kepler-1876,17.08373047384832
WASP-193,17.013588029618003
HD 118203,16.826904506336195
TOI-3331 A,16.826420393909224
HD 183579,16.591068750328198
TOI-908,16.584769399773975
K2-100,16.37126017978648
HATS-69,16.055074233332554
L 98-59,15.822214549791802
TOI-1221,15.729051440418637
TOI-3693,15.695142484537438
TOI-2236,15.567847022146944
EPIC 248847494,15.518208292862598
K2-237,15.496698810387775
TOI-4137,15.427916252837958
WASP-44,15.352602480678492
NGTS-8,15.339941275042817
TOI-2207,15.244988848792012
TOI-3819,15.065624018386035
K2-12,15.060705221190581
HATS-67,15.04405133342784
KELT-18,14.872584373360649
TOI-622,14.678344563451152
TOI-500,14.668869935472172
HD 202772 A,14.548384564696144
Kepler-37,14.420116052679615
HAT-P-9,14.275104777402973
XO-7,14.204548763186223
TOI-2803 A,14.184944351360567
HATS-65,14.121002670408503
HATS-64,13.945475993539581
KELT-4 A,13.736220226023896
KELT-12,13.641174119031465
Kepler-296,13.357278289101137
HAT-P-60,13.013451727099378
HAT-P-64,12.898869725751679
TOI-4010,12.855247838355174
WASP-174,12.61591212821074
TOI-615,12.560924152719098
TOI-4791,11.646987908109077
TOI-4127,11.630579186109825
TOI-1107,11.610048687203566
HATS-61,11.581756405218655
Kepler-1655,10.680866138898066
Kepler-186,10.641000147079087
TOI-1386,10.582062429203113
TOI-969,10.579873592417325
NGTS-9,10.518384462616295
TOI-4603,10.518191617571638
KELT-9,10.318311862869553
HATS-59,10.25814378246119
Kepler-1514,10.013190397019121
HATS-68,9.897112049671666
HD 110113,9.802548432393602
HD 191939,9.665809911692422
WASP-18,9.54560255320146
KELT-19 A,8.380211342748488
KELT-20,8.379539059953974
TOI-1431,7.613818633342362
HD 5278,7.529797302929883
Kepler-69,7.385421022214278
KELT-21,7.080516224076974
WASP-161,6.633406841270113
HATS-66,6.581014189538985
HATS-70,5.518191617571637
Kepler-454,5.104472033933923
