pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
Kepler-102 b,Kepler-102,1,5,2014,5.286965,0.05521,0.46,1.1,0.1,122400.0,857.0,89.78,nan,62.3056691506534,51.046716616718115,0.4,0.6,K2,4909.0,0.72,0.8,0.11,[Fe/H],nan,0.48250998293595476,0.6951278856089786,107.796,12.072,20.336492312305758
Kepler-102 c,Kepler-102,1,5,2014,7.071392,0.06702,0.567,1.7,0.094,82960.0,777.0,89.82,nan,51.417164056567316,51.924652027867616,0.4,0.6,K2,4909.0,0.72,0.8,0.11,[Fe/H],nan,0.48250998293595476,0.6951278856089786,107.796,12.072,20.5778296391716
Kepler-102 d,Kepler-102,1,5,2014,10.311767,0.08618,1.154,3.0,0.092,50184.0,686.0,89.49,nan,10.76247616766891,22.120779579465808,0.25,0.75,K2,4909.0,0.72,0.8,0.11,[Fe/H],nan,0.48250998293595476,0.6951278856089786,107.796,12.072,56.5610261273296
Kepler-102 e,Kepler-102,1,5,2013,16.1456994,0.1162,2.17,4.7,0.089,27608.0,590.0,89.488,nan,2.5358702626714162,9.800972744002847,0.45,0.55,K2,4909.0,0.72,0.8,0.11,[Fe/H],nan,0.48250998293595476,0.6951278856089786,107.796,12.072,21.536199611581235
Kepler-102 f,Kepler-102,1,5,2014,27.453592,0.1656,0.861,4.3,0.1,13600.0,495.0,89.32,nan,37.14217874804042,56.95776558482577,0.4,0.6,K2,4909.0,0.72,0.8,0.11,[Fe/H],nan,0.48250998293595476,0.6951278856089786,107.796,12.072,22.847200348891285
