pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
EPIC 249893012 b,EPIC 249893012,1,3,2020,3.5951,0.047,1.95,8.75,0.06,1410320.0,1616.0,86.14,nan,6.5059780458409024,22.595898826335215,0.25,0.75,G8,5430.0,1.71,1.05,0.2,[Fe/H],3.99,1.8130466396135099,2.611965185541637,321.296,11.429,50.9929210926301
EPIC 249893012 c,EPIC 249893012,1,3,2020,15.624,0.13,3.67,14.67,0.07,217600.0,990.0,87.94,nan,1.6362147206513873,10.695196706591489,0.45,0.55,G8,5430.0,1.71,1.05,0.2,[Fe/H],3.99,1.8130466396135099,2.611965185541637,321.296,11.429,20.640714811263596
EPIC 249893012 d,EPIC 249893012,1,3,2020,35.747,0.22,3.94,10.18,0.15,72080.0,752.0,89.47,nan,0.9176297539511311,6.439410709762328,0.45,0.55,G8,5430.0,1.71,1.05,0.2,[Fe/H],3.99,1.8130466396135099,2.611965185541637,321.296,11.429,19.39850247306969
