pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
HD 23472 b,HD 23472,1,5,2019,17.667087,0.1162,2.0,8.32,0.072,21760.0,543.0,88.93,nan,5.733789088132657,20.42462662825719,0.3,0.7,K4,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,0.5281385002043557,0.7608625975402473,39.0341,9.73,59.65079933627956
HD 23472 c,HD 23472,1,5,2019,29.79749,0.1646,1.87,3.41,0.063,10825.6,467.0,89.095,nan,2.875000561779289,9.575510947382659,0.45,0.55,K4,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,0.5281385002043557,0.7608625975402473,39.0341,9.73,21.30456403797832
HD 23472 d,HD 23472,1,5,2022,3.97664,0.04298,0.75,0.55,0.07,159120.0,909.0,87.95,nan,7.187655836975411,9.601320209864495,0.25,0.75,K4,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,0.5281385002043557,0.7608625975402473,39.0341,9.73,53.97045023017054
HD 23472 e,HD 23472,1,5,2022,7.90754,0.068,0.818,0.72,0.07,63512.00000000001,723.0,88.63,nan,7.2523868191482155,10.56614777474353,0.25,0.75,K4,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,0.5281385002043557,0.7608625975402473,39.0341,9.73,54.67722020448435
HD 23472 f,HD 23472,1,5,2022,12.1621839,0.0906,1.137,0.77,0.07,35768.0,630.0,88.81,nan,2.888136436630414,5.848716719899912,0.45,0.55,K4,4684.0,0.71,0.67,-0.2,[Fe/H],4.53,0.5281385002043557,0.7608625975402473,39.0341,9.73,18.617737108714866
