pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
TOI-561 b,TOI-561,1,4,2020,0.4465688,0.0106,1.425,2.0,0.0,6453200.0,2310.0,87.2,nan,3.8106036326394825,9.67143813635305,0.3,0.7,G9,5372.0,0.84,0.81,-0.4,[Fe/H],4.5,0.8460302342602678,1.2188332442868217,85.799,10.252,54.01053086764529
TOI-561 c,TOI-561,1,4,2020,10.778831,0.0884,2.91,5.39,0.03,92752.0,800.0,89.69,nan,1.2059190970225477,6.250195162654906,0.45,0.55,G9,5372.0,0.84,0.81,-0.4,[Fe/H],4.5,0.8460302342602678,1.2188332442868217,85.799,10.252,19.76602768905324
TOI-561 d,TOI-561,1,4,2020,25.7124,0.158,2.82,13.2,0.122,29103.999999999996,598.0,89.4,nan,3.2451515305685876,16.299208142594775,0.3,0.7,G9,5372.0,0.84,0.81,-0.4,[Fe/H],4.5,0.8460302342602678,1.2188332442868217,85.799,10.252,55.68629120211674
TOI-561 e,TOI-561,1,4,2020,77.03,0.328,2.55,12.6,0.079,6745.6,415.0,89.8,nan,4.189463184218594,19.027466914799092,0.3,0.7,G9,5372.0,0.84,0.81,-0.4,[Fe/H],4.5,0.8460302342602678,1.2188332442868217,85.799,10.252,56.97357287306722
