pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_obliq,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
Kepler-138 b,Kepler-138,1,4,2014,10.3134,0.0753,0.64,0.07,0.02,13464.0,452.0,88.67,nan,1.4721989124345267,1.6781426813894462,0.45,0.55,K9,3841.0,0.54,0.54,-0.18,[Fe/H],4.71,0.2446164272523449,0.35240659442214073,66.8624,13.04,30.381288187685563
Kepler-138 c,Kepler-138,1,4,2014,13.7815,0.0913,1.51,2.3,0.017,9248.0,410.0,89.02,nan,3.683030951865103,9.905233838637207,0.3,0.7,K9,3841.0,0.54,0.54,-0.18,[Fe/H],4.71,0.2446164272523449,0.35240659442214073,66.8624,13.04,66.47877915731053
Kepler-138 d,Kepler-138,1,4,2014,23.0923,0.1288,1.51,2.1,0.01,4624.0,345.0,89.04,nan,3.3627673908333557,9.043909157016582,0.3,0.7,K9,3841.0,0.54,0.54,-0.18,[Fe/H],4.71,0.2446164272523449,0.35240659442214073,66.8624,13.04,66.96756943695348
Kepler-138 e,Kepler-138,1,4,2022,38.23,0.1803,nan,0.43,0.112,2352.8,292.0,88.53,nan,nan,nan,0.4,0.6,K9,3841.0,0.54,0.54,-0.18,[Fe/H],4.71,0.2446164272523449,0.35240659442214073,66.8624,13.04,nan
