pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
TOI-1260 b,TOI-1260,1,3,2021.0,3.127463,0.0367,2.41,8.56,0.0,129988.8,871.0,3.371560921560514,14.47206387646642,0.3,0.7,K6,4227.0,0.67,0.68,-0.1,[Fe/H],4.57,0.37650253082376667,0.5424082763748598,73.5977,11.922,39.2238539326662
TOI-1260 c,TOI-1260,1,3,2021.0,7.493134,0.0657,2.76,13.2,0.0,40541.6,651.0,3.461426063925191,17.015572205572706,0.3,0.7,K6,4227.0,0.67,0.68,-0.1,[Fe/H],4.57,0.37650253082376667,0.5424082763748598,73.5977,11.922,41.51314595021197
TOI-1260 d,TOI-1260,1,3,2022.0,16.608164,0.1116,3.12,11.84,0.0,14035.2,499.0,2.1492963187152987,11.943546522491468,0.45,0.55,K6,4227.0,0.67,0.68,-0.1,[Fe/H],4.57,0.37650253082376667,0.5424082763748598,73.5977,11.922,30.045992524653546
