pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
HD 260655 b,HD 260655,1,2,2022.0,2.76953,0.02933,1.24,2.14,0.039,57392.00000000001,709.0,6.188096709461678,13.666622366172055,0.35,0.65,K9,3803.0,0.44,0.44,-0.43,[Fe/H],5.2,0.17601207130172242,0.25357174626967904,10.0055,9.63,50.96910818651874
HD 260655 c,HD 260655,1,2,2022.0,5.70588,0.04749,1.533,3.09,0.038,21896.000000000004,557.0,4.728685052154125,12.911151016579081,0.3,0.7,K9,3803.0,0.44,0.44,-0.43,[Fe/H],5.2,0.17601207130172242,0.25357174626967904,10.0055,9.63,54.94090535961675
