pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
TOI-700 b,TOI-700,1,3,2019.0,9.98,0.059,1.19,1.17,0.03,137917.6,261.0,3.827836260049787,8.113023429415064,0.3,0.7,M5,3200.0,0.411,0.401,-0.38,-0.38,4.6,7.10603512869742,10.237307721631565,101.28,9.646,51.71009936419706
TOI-700 c,TOI-700,1,3,2019.0,16.05,0.091,1.66,1.38,0.05,56072.799999999996,221.0,1.663271694541182,4.917605677633193,0.45,0.55,M5,3200.0,0.411,0.401,-0.38,-0.38,4.6,7.10603512869742,10.237307721631565,101.28,9.646,12.700859160716952
TOI-700 d,TOI-700,1,3,2019.0,37.42,0.137,2.1,1.77,0.02,9873.6,185.0,1.0537164417776368,3.9411727206540244,0.45,0.55,M5,3200.0,0.411,0.401,-0.38,-0.38,4.6,7.10603512869742,10.237307721631565,101.28,9.646,12.45444808431099
