pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
TOI-4010 b,TOI-4010,1,4,2023.0,1.348335,0.0229,3.02,11.0,0.03,971040.0,1441.0,2.2018119820932682,11.84321437228362,0.45,0.55,K2,4960.0,0.83,0.88,0.37,[Fe/H],4.54,0.7183098165499444,1.0348328566226002,177.504,12.291,7.521911214487005
TOI-4010 c,TOI-4010,1,4,2023.0,5.414654,0.058,5.93,20.31,0.03,152320.0,907.0,0.5369751868727278,5.671413699071862,0.4,0.6,K2,4960.0,0.83,0.88,0.37,[Fe/H],4.54,0.7183098165499444,1.0348328566226002,177.504,12.291,9.598983779307215
TOI-4010 d,TOI-4010,1,4,2023.0,14.70886,0.113,6.18,38.15,0.07,40800.0,650.0,0.8911226686604126,9.80863069751911,0.5,0.5,K2,4960.0,0.83,0.88,0.37,[Fe/H],4.54,0.7183098165499444,1.0348328566226002,177.504,12.291,7.07493054790123
