pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
TOI-1246 b,TOI-1246,1,4,2022.0,4.30744,0.049,3.01,8.1,nan,266560.0,955.0,1.6375475010001195,8.778954919461073,0.45,0.55,K1,5151.0,0.86,0.87,0.17,[Fe/H],4.4,0.9138469393388278,1.3165333634084697,169.422,11.632,4.4860071286513215
TOI-1246 c,TOI-1246,1,4,2022.0,5.904144,0.061,2.51,8.8,nan,175440.0,860.0,3.068102624791324,13.715954014822058,0.3,0.7,K1,5151.0,0.86,0.87,0.17,[Fe/H],4.4,0.9138469393388278,1.3165333634084697,169.422,11.632,19.913164571390556
TOI-1246 d,TOI-1246,1,4,2022.0,18.6559,0.131,3.51,5.3,nan,38080.0,586.0,0.6757139651764998,4.224277381995647,0.4,0.6,K1,5151.0,0.86,0.87,0.17,[Fe/H],4.4,0.9138469393388278,1.3165333634084697,169.422,11.632,7.28929906859435
TOI-1246 e,TOI-1246,1,4,2022.0,37.9216,0.211,3.78,14.8,nan,14960.0,462.0,1.5107572615444342,10.17112301487054,0.45,0.55,K1,5151.0,0.86,0.87,0.17,[Fe/H],4.4,0.9138469393388278,1.3165333634084697,169.422,11.632,6.1730716998580935
