pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
HD 191939 b,HD 191939,1,6,2020.0,8.8803256,0.0804,3.41,10.0,0.031,136000.0,880.0,1.3904175393581784,8.444657366909434,0.45,0.55,G9,5348.0,0.94,0.81,-0.15,[Fe/H],4.3,0.953982819486612,1.3743551090528243,53.6089,8.97,14.288859419295243
HD 191939 c,HD 191939,1,6,2020.0,28.579743,0.1752,3.195,8.0,0.034,28560.0,600.0,1.3523396265528371,7.695539172614457,0.45,0.55,G9,5348.0,0.94,0.81,-0.15,[Fe/H],4.3,0.953982819486612,1.3743551090528243,53.6089,8.97,14.426167449590533
HD 191939 d,HD 191939,1,6,2020.0,38.353037,0.2132,2.995,2.8,0.031,19448.0,540.0,0.57461363304704,3.0651742544624656,0.4,0.6,G9,5348.0,0.94,0.81,-0.15,[Fe/H],4.3,0.953982819486612,1.3743551090528243,53.6089,8.97,17.280034115500705
