pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
Earth,96.55888531154204
Trappist-1 e,88.67807338721119
Ross 128 b,72.65390833891837
Trappist-1 d,68.96692401626433
Trappist-1 g,67.99813824768435
Trappist-1 f,66.25364144420502
Trappist-1 c,65.01600924317793
Trappist-1 b,64.6969011522212
Trappist-1 h,64.66743213623309
Kepler-452b,63.74062974083932
Proxima Centauri b,63.49872963558927
TOI-1452 b,61.89171863610136
GJ 3473 b,56.92470528434717
GJ 3929 b,56.409023790185316
LTT 1445 A c,56.19940041618976
Kepler-442b,55.88067839670979
L 98-59 b,54.99063290718209
HD 260655 c,54.94090535961675
LP 890-9 b,54.72113921542088
LP 791-18 c,53.992861981572425
Venus,52.49714877605655
TOI-700 b,51.71009936419706
GJ 806 b,51.1063814690541
HD 260655 b,50.96910818651874
Wolf 1069 b,43.851056654598004
Mars,43.1192634431996
TOI-1231 b,42.874690709829636
GJ 367 b,42.440038586012115
TOI-715 b,41.62395455516944
TOI-1260 c,41.51314595021197
Teegarden's Star b,41.08747169219218
HD 73583 c,40.30057525380927
TOI-1260 b,39.2238539326662
TOI-1075 b,38.94504772341525
GJ 1061 b,38.05593960115293
TOI-1130 c,35.451949328793546
HD 23472 b,32.58977084870339
Mercury,32.13445069049982
TOI-1062 b,30.93043147391505
Teegarden's Star c,30.64108181149684
TOI-1064 b,30.365274480158124
LP 890-9 b,30.345984238257337
TOI-1260 d,30.045992524653546
HD 93963 A c,29.979013742457152
K2-3 b,29.781973789127168
TOI-1130 b,29.439191648455374
GJ 667 C d,28.53128569317678
GJ 273 b,27.975065568522762
Kepler-1649 c,27.478626302244407
Kepler-296 e,27.351763407860247
K2-72 e,27.168833171680163
Kepler-186 f,27.054405942777052
GJ 667 C c,25.99308258689931
HD 23472 e,25.508604623269136
TOI-1052 b,24.570588375676685
HD 20329 b,24.550906580619422
HD 23472 d,23.918237117757748
HD 207897 b,23.73590465298917
TOI-125 d,23.485207020688044
HIP 65 A b,22.17483336612012
HD 73583 b,21.9402594765195
GJ 1002 b,21.75386972039587
TOI-1201 b,20.580969453983542
HD 23472 c,20.319446685666783
TOI-1246 c,19.913164571390556
HD 110113 b,18.90445656059645
Saturn,18.716562056255796
TOI-1064 c,18.68418960204794
HD 1397 b,18.428495624635985
Kepler-1652 b,17.860691867241627
HD 332231 b,17.708501603178185
Kepler-1229 b,17.575796379069207
TOI-125 b,17.370808822557834
HIP 9618 c,17.31570186364757
HD 191939 d,17.280034115500705
HD 22946 d,16.785843196092408
HD 183579 b,16.66274312992487
TOI-125 c,16.108531996612985
TOI-1221 b,16.08048447849697
Kepler-62 b,15.880182904494186
HD 93963 A b,15.545733908743419
Neptune,15.076565647008
HD 207496 b,14.792212341732835
HD 23472 f,14.69929963501442
HD 5278 b,14.643659414914758
HD 191939 c,14.426167449590533
Jupiter,14.34984479712212
HD 191939 b,14.288859419295243
GJ 667 C b,14.11796401879882
Uranus,14.108274071869554
HD 202772 A b,13.766682655782061
GJ 1061 c,13.485679868572241
HIP 9618 b,13.45530225981701
GJ 1061 d,13.328532542609896
Kepler-62 c,13.210160007281772
GJ 273 c,13.162219650440798
TOI-700 c,12.700859160716952
TOI-700 d,12.45444808431099
Kepler-62 d,10.32764096903145
TOI-1246 d,7.28929906859435
TOI-1107 b,6.58115727272734
TOI-1246 e,6.1730716998580935
Kepler-62 e,5.798773651647669
TOI-1246 b,4.4860071286513215
HIP 29442 b,4.045642153062545
TOI-1468 c,nan
TOI-2136 b,61.46977470231177
TOI-1470 b,57.905958387623485
TOI-1695 b,56.72059494778446
TOI-2095 b,56.427165353141646
TOI-776 c,56.171085443923005
TOI-244 b,55.28611894355461
TOI-2095 c,54.947827318275884
TOI-1266 c,53.75514909549358
TOI-5344 b,53.4640925475921
TOI-776 b,53.298117075125624
TOI-1266 b,52.32608221141464
TOI-3884 b,51.28562257190475
Wolf 327 b,49.42113108144808
TOI-4860 b,48.400368512448196
TOI-1899 b,48.31329584131366
TOI-1470 c,48.26480356240262
TOI-3714 b,47.96410419472902
WD 1856+534 b,45.508598391344
TOI-836 c,44.67037522110807
TOI-2134 c,43.321955809304654
TOI-836 b,42.70495518553313
TOI-1759 b,42.045235454402324
TOI-3629 b,41.33570737259131
TOI-2285 b,40.51672484481041
TOI-5293 A b,40.34354324185139
TOI-5205 b,39.31303873830731
TOI-3984 A b,39.214542667456655
TOI-532 b,38.13771653012273
TOI-674 b,38.11152612966453
TOI-3785 b,37.76350925887855
TOI-269 b,37.676356177719526
TOI-561 e,35.32262036275932
TOI-824 b,34.730742431643556
TOI-1728 b,34.43103469755269
TOI-3757 b,33.516989620984496
TOI-561 d,31.84221743801018
TOI-4201 b,30.994607257692703
TOI-500 b,30.729969596474824
TOI-132 b,29.960652813180484
TOI-2000 b,29.7516800516178
TOI-733 b,29.707750597065814
TOI-2196 b,29.668938693163312
TOI-561 b,28.472125793664816
TOI-2180 b,25.04538018241837
TOI-411 c,24.995000664919683
TOI-2134 b,22.65549683915551
TOI-1416 b,22.422976858291715
TOI-172 b,21.682011776425558
TOI-157 b,20.540571447288265
TOI-858 B b,20.51663075098481
TOI-169 b,20.50785960487514
TOI-3688 A b,20.49318727622372
TOI-238 b,20.29277863987293
