pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
GJ 1061 b,GJ 1061,1,3,2019.0,3.204326,0.0152,1.171,1.404,0.04,647645.6,246.0,4.820641076838171,10.05412102910692,0.3,0.7,M4,3333.0,0.154,0.146,-0.11,-0.11,4.79,1.0416695240856897,1.500680937988195,12.09,8.9,38.05593960115293
GJ 1061 c,GJ 1061,1,3,2019.0,6.689,0.0215,1.69,2.07,0.0,161840.0,214.0,2.3643872357243523,7.116848607516905,0.45,0.55,M4,3333.0,0.154,0.146,-0.11,-0.11,4.79,1.0416695240856897,1.500680937988195,12.09,8.9,13.485679868572241
GJ 1061 d,GJ 1061,1,3,2019.0,13.031,0.0281,1.755,2.09,0.0,62655.2,191.0,2.1316863203303917,6.663199794996908,0.45,0.55,M4,3333.0,0.154,0.146,-0.11,-0.11,4.79,1.0416695240856897,1.500680937988195,12.09,8.9,13.328532542609896
