pl_name,st_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_density,pl_gravity,pl_albedo,abs_solar_flux,star_spect,st_teff,st_rad,st_mass,st_met,st_metratio,st_log_gravity,HB_r_i,HB_r_o,sy_dist,sy_vmag,Probability
TOI-2134 b,TOI-2134,1,2,2023.0,9.2292005,0.078,2.69,9.13,0.06,43520.0,666.0,2.5859630317671707,12.389592108955064,0.45,0.55,K4,4580.0,0.71,0.74,0.12,[Fe/H],4.8,0.4417739444850305,0.636441522056091,22.6202,8.933,22.65549683915551
TOI-2134 c,TOI-2134,1,2,2023.0,95.5,0.371,7.27,41.89,0.67,1903.9999999999998,306.0,0.601056782592632,7.782736554752161,0.4,0.6,K4,4580.0,0.71,0.74,0.12,[Fe/H],4.8,0.4417739444850305,0.636441522056091,22.6202,8.933,43.321955809304654
