pl_name,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_albedo,star_spect,st_teff,st_rad,st_mass,Probability,ESI
Kepler-1464 c,5.3278629,0.0548,1.0,0.972,0.0,1218927.268,1393.8288,89.24,0.3,G2,5828.0,1.01,1.02,53.74426874657381,29.446936
Kepler-1376 b,5.3088066,0.0598,1.05,1.16,0.0,322950.9312,999.99797,89.26,0.3,G5,5659.0,0.97,0.98,54.03081356891994,29.861167
Kepler-1598 b,4.3419512,0.0527,0.95,0.809,0.0,447628.44159999996,1085.0366,89.47,0.3,G1,5940.0,1.09,1.07,53.582214745756,29.69431
Kepler-395 b,7.054346,0.061,1.03,1.08,0.0,23381.86936,518.72215,88.36,0.3,K6,4262.0,0.56,0.62,64.0975912311805,37.054234
Kepler-1698 b,1.2107,0.0203,1.073,1.25,0.0,1001259.9208000001,1326.9412,83.56,0.3,K2,4975.03,0.74,0.82,55.643076039467516,29.437205
K2-91 b,1.419549,0.01646642,1.1,1.37,0.09,73217.89976,688.98132,88.62,0.3,M2,3622.0,0.28,0.29,67.61105341953656,31.785123
K2-190 c,21.574023,0.14640116,1.093,1.34,nan,52053.49272,633.61792,88.977,0.3,G5,5631.0,0.91,0.9,54.314256854601695,32.816646
K2-239 c,7.775,0.0576,1.0,0.972,nan,6556.830232,377.47524,88.77,0.3,M3,3420.0,0.36,0.4,67.67688368546368,53.583521
K2-338 b,3.850614,0.041851487,1.03,1.08,nan,113270.57976000001,769.56315,nan,0.3,K4,4558.0,0.63,0.66,59.23119230631484,30.959265000000002
EPIC 228836835 b,0.728113,0.011859286,1.1,1.37,nan,236277.2064,924.84816,89.7,0.3,M0,3782.0,0.32,0.42,66.45779659443335,30.017627
Kepler-1947 b,6.9636302,0.0711,1.01,1.01,0.0,347375.9192,1018.3918,89.69,0.3,G0,6040.0,1.69,0.98,53.801090626271495,29.839956
Kepler-1909 b,2.3916099,0.0306,1.092,1.33,0.0,385563.6312,1045.2953,88.15,0.3,K2,4935.0,0.69,0.66,56.3484952469274,29.717579
EPIC 220492298 b,0.762406,0.016052462,0.99,0.937,nan,5169583.856,2000.2251,92.6,0.3,G6,5620.0,0.89,0.95,53.716830537240206,29.325625
Kepler-1693 c,5.3637099,0.0588,0.977,0.894,0.0,238113.628,926.64001,89.97,0.3,G6,5553.0,1.1,0.94,53.96363099838298,30.087632
Kepler-381 d,8.2563,0.085,1.067,1.23,0.0,614753.5647999999,1174.6007,87.44,0.3,F9,6197.0,2.19,1.2,49.03700353501832,29.564193
Kepler-1312 c,1.11612,0.0209,1.027,1.07,0.0,2478827.664,1664.4723,82.64,0.3,G4,5721.0,0.91,0.98,53.93301068392848,29.360591000000003
Kepler-1898 b,4.7656202,0.0522,0.934,0.76,0.0,290534.624,973.90021,89.51,0.3,G4,5702.0,1.12,0.84,53.84406278189464,29.906686
Kepler-1759 b,3.7202301,0.0429,0.904,0.676,0.0,202126.99440000003,889.44903,88.63,0.3,K2,5017.0,0.8,0.76,55.6209401183935,30.143470999999998
Kepler-1911 b,5.9907999,0.0636,1.011,1.01,0.0,280947.1816,965.76431,84.42,0.3,G4,5721.0,0.97,0.95,53.87034941463904,29.969544999999997
Kepler-381 b,5.629021,0.066,0.99,0.937,0.0,1019649.7999999999,1332.9926,88.8,0.3,F9,6152.0,1.57,1.2,48.69940775181484,29.476803
Kepler-1966 b,8.6174297,0.0763,1.105,1.39,0.0,63312.55328,665.40712,89.86,0.3,K2,5009.0,0.84,0.8,56.968321140414034,32.171506
K2-384 b,2.231527,0.023089561,1.076,1.26,nan,34411.8148,571.33638,nan,0.3,M4,3623.0,0.35,0.33,67.71783600533756,34.614725
K2-381 b,7.9389334,0.070746471,1.075,1.26,nan,49559.776320000004,625.889,88.863,0.3,K5,4473.0,0.68,0.75,58.60254292412429,33.017723
Wolf 1069 b,15.564,0.0672,1.08,1.26,nan,886.7483016,228.91016,nan,0.3,M5,3158.0,0.18,0.17,69.10976012754026,84.859348
Kepler-1992 b,15.611224,0.1169,0.91,0.693,0.0,97478.73576,741.21202,89.03,0.3,G9,5383.0,0.84,0.87,53.39285741612197,31.154576
