pl_name,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_albedo,star_spect,st_teff,st_rad,st_mass,Probability,ESI
Kepler-68 c,9.605027,0.090521437,0.979,1.3,0.099,286695.5208,968.87733,87.071,0.25,G2,5847.0,1.26,1.06,51.32866885202251,29.952999000000002
Kepler-1649 c,19.53527,0.0649,1.06,1.2,0.0,1667.4372480000002,268.05713,89.339,0.3,M5,3240.0,0.23,0.2,95.27799334828791,92.52979
GJ 367 b,0.3219225,0.007102762,0.699,0.633,0.06,783482.9983999999,1247.179,79.89,0.25,M1,3522.0,0.46,0.46,62.855579609239285,28.429496
K2-157 b,0.365261,0.0097938717,1.0,0.972,nan,8742388.175999999,2280.9854,89.7,0.3,G8,5456.0,0.88,0.94,53.93036878571111,29.311320000000002
K2-129 b,8.239493,0.05748165,1.04,1.12,0.13,6273.2176,372.13583,89.21,0.3,M3,3459.09,0.36,0.36,67.95764606185365,54.46506
K2-72 b,5.577212,0.040242,1.08,1.28,0.11,12446.935288,442.06916,89.15,0.3,M4,3360.47,0.33,0.27,67.87465743930161,43.154405000000004
Kepler-1049 b,3.2734607,0.0349,0.95,0.809,0.0,80888.73768,707.43574,88.1,0.3,K9,3864.0,0.49,0.51,62.250518385858825,31.603719
Kepler-1560 b,3.0319574,0.0397,0.89,0.64,0.0,797917.3312,1253.7313,88.74,0.3,G2,5815.0,1.02,1.02,53.308965480834644,29.409889
Kepler-1572 b,5.4954862,0.0614,0.94,0.779,0.0,851534.3384,1274.2819,89.31,0.3,G6,5618.0,0.95,0.97,53.486129137508996,29.480911
Kepler-1297 b,1.68189,0.0283,0.97,0.871,0.0,3403815.752,1801.7996,84.06,0.3,G2,5818.0,0.99,0.99,53.61332841930005,29.337600000000002
Kepler-1576 b,6.9847197,0.0726,1.04,1.12,0.0,223185.34319999997,911.76181,88.54,0.3,G1,5876.0,1.06,1.05,54.001548187336226,30.132109
Kepler-1338 b,0.93511806,0.0193,0.92,0.721,0.0,6447989.023999999,2113.8349,86.81,0.3,G1,5909.0,1.05,1.04,53.39929441153002,29.257765000000003
Kepler-1367 b,1.5740903,0.0236,0.92,0.721,0.0,303888.94,984.90356,89.48,0.3,K6,4106.0,0.6,0.62,58.96506206285383,29.857504000000002
Kepler-1406 b,11.629058,0.0987,1.1,1.37,0.0,190504.2168,876.37733,85.67,0.3,G1,5892.0,1.12,1.05,54.17290997585891,30.21049
Kepler-1438 b,2.3194201,0.0346,0.94,0.779,0.0,1507949.232,1469.9808,87.59,0.3,G7,5530.0,0.96,0.97,53.48780936472466,29.382883
Kepler-186 b,3.8867907,0.0343,1.07,1.24,0.0,47637.68695999999,619.73018,89.6,0.3,M1,3788.0,0.47,0.48,65.22821751682761,33.171879
Kepler-1570 b,26.548955,0.1784,1.07,1.24,0.0,110853.44904,765.42437,89.52,0.3,G6,5550.0,0.89,0.92,54.04395939407835,30.961893
Kepler-1525 b,2.4166012,0.036,0.91,0.693,0.0,1023137.2752,1334.1309,89.79,0.3,G3,5748.0,1.04,1.07,53.38031634413404,29.398391
Kepler-1547 b,0.69297968,0.0165,0.9,0.666,0.0,8328581.112,2253.5009,61.66,0.3,G0,6078.0,1.18,1.12,53.312321006888816,29.214510999999998
Kepler-1443 b,2.4181132,0.0368,0.97,0.871,0.0,3654628.856,1834.1118,89.89,0.3,F8,6289.0,1.27,1.19,48.61330404957961,29.333726
Kepler-212 b,16.257582,0.133,1.09,1.32,0.0,185710.1488,870.81097,89.61,0.3,G2,5852.0,1.46,1.17,54.115381535927725,30.250958999999998
Kepler-1589 b,0.99166527,0.0205,1.09,1.32,0.0,6902893.656,2150.1699,71.48,0.3,F9,6166.0,1.25,1.18,49.115392158055535,29.251624
Kepler-1612 b,3.917951,0.0482,1.03,1.08,0.0,379703.70399999997,1041.3008,88.27,0.3,G5,5643.0,0.94,0.96,54.103597786134934,29.786273
Kepler-1649 b,8.689099,0.0514,1.017,1.03,0.0,2658.3531040000003,301.20914,89.15,0.3,M5,3240.0,0.23,0.2,68.62082099534653,77.1452
